County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Somervell County, Texas",48425,Rural,28.6,1876,"742 of 3143"
"Nelson County, North Dakota",38063,Rural,28.6,631,"743 of 3143"
"Dunn County, Wisconsin",55033,Rural,28.6,7995,"744 of 3143"
"Cherokee County, Oklahoma",40021,Rural,28.6,8612,"745 of 3143"
"Monroe County, Georgia",13207,Urban,28.6,5657,"746 of 3143"
"Hancock County, Ohio",39063,Rural,28.5,14642,"747 of 3143"
"Ketchikan Gateway Borough, Alaska",02130,Rural,28.5,2812,"748 of 3143"
"Kodiak Island Borough, Alaska",02150,Rural,28.5,2458,"749 of 3143"
"Saline County, Arkansas",05125,Urban,28.5,24525,"750 of 3143"
"Mills County, Texas",48333,Rural,28.5,966,"751 of 3143"
"Stearns County, Minnesota",27145,Urban,28.4,27859,"752 of 3143"
"Johnson County, Missouri",29101,Rural,28.4,8965,"753 of 3143"
"Muscogee County, Georgia",13215,Urban,28.4,38194,"754 of 3143"
"Roanoke City, Virginia",51770,Urban,28.4,19786,"755 of 3143"
"Douglas County, Minnesota",27041,Rural,28.4,7941,"756 of 3143"
"Flagler County, Florida",12035,Urban,28.4,25768,"757 of 3143"
"Berkeley County, South Carolina",45015,Urban,28.4,43914,"758 of 3143"
"Loudon County, Tennessee",47105,Urban,28.4,11664,"759 of 3143"
"Campbell County, South Dakota",46021,Rural,28.4,315,"760 of 3143"
"Steele County, Minnesota",27147,Rural,28.4,7148,"761 of 3143"
"Lee County, Mississippi",28081,Rural,28.3,15692,"762 of 3143"
"Puerto Rico",72001,Urban,28.3,678451,"763 of 3143"
"Nemaha County, Kansas",20131,Rural,28.3,1875,"764 of 3143"
"Hot Springs County, Wyoming",56017,Rural,28.2,934,"765 of 3143"
"Saline County, Kansas",20169,Rural,28.2,10370,"766 of 3143"
"Alamosa County, Colorado",08003,Rural,28.2,2767,"767 of 3143"
"Craighead County, Arkansas",05031,Urban,28.2,20052,"768 of 3143"
"Solano County, California",06095,Urban,28.2,88182,"769 of 3143"
"McCracken County, Kentucky",21145,Urban,28.2,13383,"770 of 3143"
"Kanawha County, West Virginia",54039,Urban,28.2,36689,"771 of 3143"
"Edmunds County, South Dakota",46045,Rural,28.1,809,"772 of 3143"
"Rockdale County, Georgia",13247,Urban,28.1,17602,"773 of 3143"
"Burnet County, Texas",48053,Rural,28.1,9989,"774 of 3143"
"Gosper County, Nebraska",31073,Rural,28.1,406,"775 of 3143"
"Colonial Heights City, Virginia",51570,Urban,28.1,3570,"776 of 3143"
"Escambia County, Florida",12033,Urban,28.1,61257,"777 of 3143"
"Rabun County, Georgia",13241,Rural,28.0,3690,"778 of 3143"
"Racine County, Wisconsin",55101,Urban,28.0,37807,"779 of 3143"
"Kenai Peninsula Borough, Alaska",02122,Rural,28.0,11647,"780 of 3143"
"Lucas County, Ohio",39095,Urban,28.0,81629,"781 of 3143"
"Pratt County, Kansas",20151,Rural,27.9,1634,"782 of 3143"
"Greene County, Virginia",51079,Urban,27.9,3992,"783 of 3143"
"Morris County, Kansas",20127,Rural,27.9,1087,"784 of 3143"
"Kent County, Texas",48263,Rural,27.9,126,"785 of 3143"
"Jefferson County, Wisconsin",55055,Rural,27.9,16580,"786 of 3143"
"Ellis County, Texas",48139,Urban,27.9,35105,"787 of 3143"
"Cass County, Missouri",29037,Urban,27.9,20578,"788 of 3143"
"Jo Daviess County, Illinois",17085,Rural,27.9,4610,"789 of 3143"
"Kimble County, Texas",48267,Rural,27.9,885,"790 of 3143"
"Jeff Davis County, Texas",48243,Rural,27.8,455,"791 of 3143"
"Cortland County, New York",36023,Rural,27.8,8150,"792 of 3143"
"Skagway Municipality, Alaska",02230,Rural,27.8,270,"793 of 3143"
"Oconee County, South Carolina",45073,Rural,27.8,16017,"794 of 3143"
"Goodhue County, Minnesota",27049,Rural,27.8,9370,"795 of 3143"
"Sullivan County, New York",36105,Rural,27.8,15427,"796 of 3143"
"Iowa County, Wisconsin",55049,Urban,27.8,4687,"797 of 3143"
"Orleans County, Vermont",50019,Rural,27.7,5569,"798 of 3143"
"Montrose County, Colorado",08085,Rural,27.7,8593,"799 of 3143"
"Pike County, Alabama",01109,Rural,27.7,5322,"800 of 3143"
"McCook County, South Dakota",46087,Urban,27.7,1028,"801 of 3143"
"Hampton City, Virginia",51650,Urban,27.7,25602,"802 of 3143"
"Silver Bow County, Montana",30093,Rural,27.7,6725,"803 of 3143"
"Walworth County, South Dakota",46129,Rural,27.7,1042,"804 of 3143"
"Botetourt County, Virginia",51023,Urban,27.7,6883,"805 of 3143"
"Marion County, Kansas",20115,Rural,27.6,2228,"806 of 3143"
"Cascade County, Montana",30013,Urban,27.6,15952,"807 of 3143"
"Greene County, New York",36039,Rural,27.6,10050,"808 of 3143"
"Clay County, Florida",12019,Urban,27.6,41870,"809 of 3143"
"Fergus County, Montana",30027,Rural,27.6,2363,"810 of 3143"
"Putnam County, Tennessee",47141,Rural,27.6,14247,"811 of 3143"
"Bossier Parish, Louisiana",22015,Urban,27.6,23746,"812 of 3143"
"Beaver County, Utah",49001,Rural,27.5,1168,"813 of 3143"
"Hoonah-Angoon Census Area, Alaska",02105,Rural,27.5,506,"814 of 3143"
"Jackson County, Colorado",08057,Rural,27.5,296,"815 of 3143"
"Lyon County, Minnesota",27083,Rural,27.5,4454,"816 of 3143"
"Brown County, Indiana",18013,Urban,27.5,3278,"817 of 3143"
"Tazewell County, Illinois",17179,Urban,27.5,25368,"817 of 3143"
"Henry County, Georgia",13151,Urban,27.5,43084,"819 of 3143"
"Holt County, Nebraska",31089,Rural,27.5,1894,"820 of 3143"
"Pickens County, South Carolina",45077,Urban,27.5,22742,"821 of 3143"
"DeSoto County, Mississippi",28033,Urban,27.4,33599,"822 of 3143"
"Rock County, Minnesota",27133,Urban,27.4,1779,"823 of 3143"
"Franklin County, Vermont",50011,Urban,27.4,9676,"824 of 3143"
"Pike County, Pennsylvania",42103,Rural,27.4,12172,"825 of 3143"
"Meade County, South Dakota",46093,Urban,27.4,5531,"826 of 3143"
"Smith County, Texas",48423,Urban,27.4,42352,"827 of 3143"
"Harding County, South Dakota",46063,Rural,27.3,236,"828 of 3143"
"Bandera County, Texas",48019,Urban,27.3,4450,"829 of 3143"
"Alamance County, North Carolina",37001,Urban,27.3,31638,"830 of 3143"
"Oneida County, New York",36065,Urban,27.3,43677,"831 of 3143"
"Orange County, Virginia",51137,Rural,27.3,7156,"832 of 3143"
"Yankton County, South Dakota",46135,Rural,27.3,4430,"833 of 3143"
"Judith Basin County, Montana",30045,Rural,27.3,396,"834 of 3143"
"Sherburne County, Minnesota",27141,Urban,27.3,17502,"835 of 3143"
"Liberty County, Montana",30051,Rural,27.2,371,"836 of 3143"
"Lorain County, Ohio",39093,Urban,27.2,59364,"837 of 3143"
"Waynesboro City, Virginia",51820,Urban,27.2,4300,"838 of 3143"
"Kittson County, Minnesota",27069,Rural,27.2,811,"839 of 3143"
"Douglas County, Wisconsin",55031,Urban,27.2,8631,"840 of 3143"
"Clinton County, New York",36019,Rural,27.2,15013,"841 of 3143"
"Bolivar County, Mississippi",28011,Rural,27.2,5448,"842 of 3143"
"Bonner County, Idaho",16017,Rural,27.2,9771,"843 of 3143"
"St. Charles Parish, Louisiana",22089,Urban,27.2,9568,"844 of 3143"
"Crow Wing County, Minnesota",27035,Rural,27.2,13062,"845 of 3143"
"Adams County, Colorado",08001,Urban,27.2,91993,"846 of 3143"
"Hooker County, Nebraska",31091,Rural,27.1,114,"847 of 3143"
"Pasco County, Florida",12101,Urban,27.1,111695,"848 of 3143"
"Williamson County, Illinois",17199,Rural,27.1,13005,"849 of 3143"
"Boise County, Idaho",16015,Urban,27.1,1662,"850 of 3143"
"Oneida County, Wisconsin",55085,Rural,27.1,7873,"851 of 3143"
"Rowan County, Kentucky",21205,Rural,27.1,3860,"851 of 3143"
"Monterey County, California",06053,Urban,27.1,75713,"853 of 3143"
"Currituck County, North Carolina",37053,Urban,27.1,5533,"854 of 3143"
"Vanderburgh County, Indiana",18163,Urban,27.1,33416,"855 of 3143"
"Adams County, Nebraska",31001,Rural,27.1,5503,"856 of 3143"
"Marathon County, Wisconsin",55073,Urban,27.0,25985,"857 of 3143"
"Niagara County, New York",36063,Urban,27.0,41237,"858 of 3143"
"Camas County, Idaho",16025,Rural,27.0,198,"859 of 3143"
"Weber County, Utah",49057,Urban,27.0,44512,"860 of 3143"
"Moody County, South Dakota",46101,Rural,27.0,1144,"861 of 3143"
"Garfield County, Washington",53023,Rural,27.0,458,"862 of 3143"
"Coles County, Illinois",17029,Rural,27.0,8227,"863 of 3143"
"Grant County, Nebraska",31075,Rural,27.0,120,"864 of 3143"
"Valley County, Nebraska",31175,Rural,27.0,773,"865 of 3143"
"McLennan County, Texas",48309,Urban,26.9,42846,"866 of 3143"
"Pulaski County, Missouri",29169,Rural,26.9,7942,"867 of 3143"
"Adams County, Illinois",17001,Rural,26.9,12293,"868 of 3143"
"Sawyer County, Wisconsin",55113,Rural,26.9,3686,"869 of 3143"
"Prince Edward County, Virginia",51147,Rural,26.9,3404,"870 of 3143"
"Eddy County, North Dakota",38027,Rural,26.9,460,"871 of 3143"
"Ottawa County, Ohio",39123,Urban,26.9,8221,"872 of 3143"
"Cumberland County, North Carolina",37051,Urban,26.9,56004,"873 of 3143"
"Madison County, New York",36053,Urban,26.9,12407,"874 of 3143"
"Stanley County, South Dakota",46117,Rural,26.9,572,"875 of 3143"
"Culpeper County, Virginia",51047,Urban,26.8,9518,"876 of 3143"
"McClain County, Oklahoma",40087,Urban,26.8,7618,"877 of 3143"
"Rich County, Utah",49033,Rural,26.8,410,"878 of 3143"
"Nuckolls County, Nebraska",31129,Rural,26.8,810,"879 of 3143"
"Berks County, Pennsylvania",42011,Urban,26.8,78363,"880 of 3143"
"Macomb County, Michigan",26099,Urban,26.8,167161,"881 of 3143"
"Bell County, Texas",48027,Urban,26.8,60970,"882 of 3143"
"Jefferson County, Idaho",16051,Urban,26.8,4838,"883 of 3143"
"Beaver County, Pennsylvania",42007,Urban,26.8,32958,"884 of 3143"
"Boyle County, Kentucky",21021,Rural,26.8,5521,"885 of 3143"
"Warren County, Mississippi",28149,Rural,26.8,8045,"886 of 3143"
"Cecil County, Maryland",24015,Urban,26.8,19316,"887 of 3143"
"Morton County, North Dakota",38059,Urban,26.7,6085,"888 of 3143"
"Kootenai County, Idaho",16055,Urban,26.7,32427,"889 of 3143"
"Griggs County, North Dakota",38039,Rural,26.7,451,"890 of 3143"
"Dickey County, North Dakota",38021,Rural,26.7,853,"891 of 3143"
"Lyon County, Kansas",20111,Rural,26.7,5149,"892 of 3143"
"Wabasha County, Minnesota",27157,Urban,26.7,4130,"893 of 3143"
"Cochise County, Arizona",04003,Urban,26.7,23549,"894 of 3143"
"Phelps County, Nebraska",31137,Rural,26.7,1626,"895 of 3143"
"Houston County, Minnesota",27055,Urban,26.7,3597,"896 of 3143"
"Polk County, Minnesota",27119,Urban,26.7,5595,"897 of 3143"
"Logan County, Kansas",20109,Rural,26.7,509,"898 of 3143"
"Columbia County, Washington",53013,Rural,26.6,805,"899 of 3143"
"Sheboygan County, Wisconsin",55117,Urban,26.6,21885,"900 of 3143"
"Bay County, Florida",12005,Urban,26.6,34466,"901 of 3143"
"Custer County, Montana",30017,Rural,26.6,2285,"902 of 3143"
"Natrona County, Wyoming",56025,Urban,26.6,14348,"903 of 3143"
"Otter Tail County, Minnesota",27111,Rural,26.6,11386,"904 of 3143"
"Monroe County, Pennsylvania",42089,Rural,26.6,31550,"905 of 3143"
"Paulding County, Georgia",13223,Urban,26.5,29620,"906 of 3143"
"Jackson County, Georgia",13157,Rural,26.5,13798,"907 of 3143"
"Osceola County, Florida",12097,Urban,26.5,69440,"908 of 3143"
"Wayne County, Michigan",26163,Urban,26.5,319402,"909 of 3143"
"Sedgwick County, Colorado",08115,Rural,26.5,455,"910 of 3143"
"Chase County, Kansas",20017,Rural,26.5,481,"911 of 3143"
"Thomas County, Kansas",20193,Rural,26.5,1310,"912 of 3143"
"Erie County, Ohio",39043,Urban,26.5,14360,"913 of 3143"
"Clark County, Arkansas",05019,Rural,26.4,3286,"914 of 3143"
"Turner County, South Dakota",46125,Urban,26.4,1584,"915 of 3143"
"Republic County, Kansas",20157,Rural,26.4,871,"916 of 3143"
"Howard County, Missouri",29089,Urban,26.4,1729,"917 of 3143"
"Clark County, Nevada",32003,Urban,26.4,411859,"918 of 3143"
"Boone County, Iowa",19015,Urban,26.4,5022,"919 of 3143"
"Grant County, New Mexico",35017,Rural,26.4,5375,"920 of 3143"
"Skamania County, Washington",53059,Urban,26.4,2411,"921 of 3143"
"Clay County, Kansas",20027,Rural,26.3,1493,"922 of 3143"
"Bottineau County, North Dakota",38009,Rural,26.3,1177,"923 of 3143"
"York County, Pennsylvania",42133,Urban,26.3,84214,"924 of 3143"
"Dolores County, Colorado",08033,Rural,26.3,502,"925 of 3143"
"Tioga County, New York",36107,Urban,26.3,9144,"926 of 3143"
"Sullivan County, Tennessee",47163,Urban,26.3,30550,"927 of 3143"
"Becker County, Minnesota",27005,Rural,26.3,6363,"928 of 3143"
"Dundy County, Nebraska",31057,Rural,26.3,328,"929 of 3143"
"Kent County, Delaware",10001,Urban,26.3,32277,"930 of 3143"
"Phillips County, Colorado",08095,Rural,26.3,779,"931 of 3143"
"Otsego County, Michigan",26137,Rural,26.3,4756,"932 of 3143"
"Bristol Bay Borough, Alaska",02060,Rural,26.3,167,"933 of 3143"
"Johnston County, North Carolina",37101,Urban,26.2,38402,"934 of 3143"
"Indiana County, Pennsylvania",42063,Rural,26.2,14253,"935 of 3143"
"Davie County, North Carolina",37059,Urban,26.2,8051,"936 of 3143"
"Mahoning County, Ohio",39099,Urban,26.2,42587,"937 of 3143"
"Volusia County, Florida",12127,Urban,26.2,108528,"938 of 3143"
"Green County, Wisconsin",55045,Urban,26.1,6924,"939 of 3143"
"Grundy County, Iowa",19075,Urban,26.1,2243,"940 of 3143"
"Anderson County, South Carolina",45007,Urban,26.1,36727,"941 of 3143"
"Andrew County, Missouri",29003,Urban,26.1,3306,"942 of 3143"
"Wagoner County, Oklahoma",40145,Urban,26.1,14697,"943 of 3143"
"Lowndes County, Mississippi",28087,Rural,26.1,10156,"944 of 3143"
"Stafford County, Kansas",20185,Rural,26.1,720,"945 of 3143"
"Sherman County, Kansas",20181,Rural,26.1,970,"946 of 3143"
"Lowndes County, Georgia",13185,Urban,26.1,18285,"947 of 3143"
"Pasquotank County, North Carolina",37139,Rural,26.1,7257,"948 of 3143"
"Huerfano County, Colorado",08055,Rural,26.1,1346,"949 of 3143"
"Lincoln County, North Carolina",37109,Urban,26.1,16439,"950 of 3143"
"Lake County, Minnesota",27075,Rural,26.1,2138,"951 of 3143"
"Clark County, Kansas",20025,Rural,26.1,353,"952 of 3143"
"Nodaway County, Missouri",29147,Rural,26.0,3254,"953 of 3143"
"Mineral County, Montana",30061,Urban,26.0,901,"954 of 3143"
"Clay County, Iowa",19041,Rural,26.0,2929,"955 of 3143"
"Blount County, Tennessee",47009,Urban,26.0,25544,"956 of 3143"
"Daniels County, Montana",30019,Rural,26.0,307,"957 of 3143"
"Effingham County, Illinois",17049,Rural,25.9,6158,"958 of 3143"
"Madison County, Tennessee",47113,Urban,25.9,17239,"959 of 3143"
"Wallace County, Kansas",20199,Rural,25.9,265,"960 of 3143"
"Cherry County, Nebraska",31031,Rural,25.9,972,"961 of 3143"
"Armstrong County, Texas",48011,Urban,25.9,345,"962 of 3143"
"Putnam County, Ohio",39137,Rural,25.9,5952,"963 of 3143"
"Kandiyohi County, Minnesota",27067,Rural,25.9,7600,"964 of 3143"
"Menard County, Illinois",17129,Urban,25.9,2241,"965 of 3143"
"Winnebago County, Iowa",19189,Rural,25.9,1863,"966 of 3143"
"Bibb County, Georgia",13021,Urban,25.9,26667,"967 of 3143"
"Maury County, Tennessee",47119,Urban,25.9,18345,"968 of 3143"
"Perkins County, Nebraska",31135,Rural,25.9,508,"969 of 3143"
"Steuben County, New York",36101,Rural,25.9,17190,"970 of 3143"
"Box Elder County, Utah",49003,Rural,25.8,9006,"971 of 3143"
"Louisa County, Virginia",51109,Rural,25.8,7209,"972 of 3143"
"Lauderdale County, Alabama",01077,Urban,25.8,16674,"973 of 3143"
"Ouachita Parish, Louisiana",22073,Urban,25.8,27027,"974 of 3143"
"Madison County, Iowa",19121,Urban,25.8,2922,"975 of 3143"
"Custer County, Nebraska",31041,Rural,25.8,1887,"976 of 3143"
"Hutchinson County, South Dakota",46067,Rural,25.8,1283,"977 of 3143"
"Clatsop County, Oregon",41007,Rural,25.7,7878,"978 of 3143"
"Brule County, South Dakota",46015,Rural,25.7,920,"979 of 3143"
"Mackinac County, Michigan",26097,Rural,25.7,2189,"980 of 3143"
"Grundy County, Illinois",17063,Urban,25.7,9004,"981 of 3143"
"Lake County, Florida",12069,Urban,25.7,73720,"982 of 3143"
"Fayette County, Tennessee",47047,Urban,25.7,8095,"983 of 3143"
"Nez Perce County, Idaho",16069,Urban,25.7,7568,"984 of 3143"
"Onslow County, North Carolina",37133,Urban,25.7,28280,"985 of 3143"
"Craven County, North Carolina",37049,Rural,25.7,17448,"986 of 3143"
"Otoe County, Nebraska",31131,Rural,25.6,2814,"987 of 3143"
"Vigo County, Indiana",18167,Urban,25.6,17510,"988 of 3143"
"Putnam County, Georgia",13237,Rural,25.6,4162,"989 of 3143"
"Sublette County, Wyoming",56035,Rural,25.6,1582,"990 of 3143"
"Sheridan County, Montana",30091,Rural,25.5,674,"991 of 3143"
"Gloucester County, Virginia",51073,Urban,25.5,7209,"992 of 3143"
"Hall County, Georgia",13139,Urban,25.5,34481,"993 of 3143"
"Powder River County, Montana",30075,Rural,25.5,350,"994 of 3143"
"Teton County, Montana",30099,Rural,25.5,1084,"995 of 3143"
"Union County, Georgia",13291,Rural,25.5,4992,"996 of 3143"
"Beadle County, South Dakota",46005,Rural,25.5,3194,"997 of 3143"
"Posey County, Indiana",18129,Urban,25.5,4568,"998 of 3143"
"Delaware County, Indiana",18035,Urban,25.5,17824,"999 of 3143"
"Ramsey County, North Dakota",38071,Rural,25.5,2015,"1000 of 3143"
"Columbia County, Pennsylvania",42037,Rural,25.5,11084,"1001 of 3143"
"Daviess County, Kentucky",21059,Urban,25.4,17593,"1002 of 3143"
"Wilson County, Texas",48493,Urban,25.4,8704,"1003 of 3143"
"Horry County, South Carolina",45051,Urban,25.4,67591,"1004 of 3143"
"Nacogdoches County, Texas",48347,Rural,25.4,9564,"1004 of 3143"
"Anderson County, Kentucky",21005,Rural,25.3,4164,"1006 of 3143"
"Hand County, South Dakota",46059,Rural,25.3,538,"1007 of 3143"
"LaMoure County, North Dakota",38045,Rural,25.3,749,"1008 of 3143"
"Kiowa County, Kansas",20097,Rural,25.3,422,"1009 of 3143"
"Butler County, Nebraska",31023,Rural,25.3,1464,"1010 of 3143"
"Hartley County, Texas",48205,Rural,25.3,1027,"1011 of 3143"
"York County, Nebraska",31185,Rural,25.3,2414,"1012 of 3143"
"Logan County, Nebraska",31113,Rural,25.3,141,"1013 of 3143"
"Garland County, Arkansas",05051,Urban,25.2,18407,"1014 of 3143"
"Spartanburg County, South Carolina",45083,Urban,25.2,56406,"1015 of 3143"
"Stark County, North Dakota",38089,Rural,25.2,5383,"1016 of 3143"
"Carson County, Texas",48065,Urban,25.2,985,"1017 of 3143"
"Jefferson County, New York",36045,Urban,25.2,18809,"1018 of 3143"
"Collingsworth County, Texas",48087,Rural,25.2,450,"1019 of 3143"
"Scotts Bluff County, Nebraska",31157,Rural,25.2,6096,"1020 of 3143"
"Effingham County, Georgia",13103,Urban,25.2,10753,"1021 of 3143"
"Archer County, Texas",48009,Urban,25.2,1519,"1022 of 3143"
"Sauk County, Wisconsin",55111,Rural,25.2,11611,"1023 of 3143"
"Denali, Alaska",02068,Rural,25.1,421,"1024 of 3143"
"Rogers County, Oklahoma",40131,Urban,25.1,16372,"1025 of 3143"
"Charlotte County, Florida",12015,Urban,25.1,39640,"1026 of 3143"
"Wabaunsee County, Kansas",20197,Urban,25.1,1203,"1027 of 3143"
"Carlton County, Minnesota",27017,Urban,25.1,6426,"1028 of 3143"
"Marion County, West Virginia",54049,Rural,25.1,9681,"1029 of 3143"
"Spink County, South Dakota",46115,Rural,25.1,1131,"1030 of 3143"
"Hamilton County, Texas",48193,Rural,25.1,1456,"1031 of 3143"
"Union County, Pennsylvania",42119,Rural,25.1,7277,"1032 of 3143"
"Drew County, Arkansas",05043,Rural,25.0,2729,"1033 of 3143"
"St. Lucie County, Florida",12111,Urban,25.0,61248,"1034 of 3143"
"Manassas Park City, Virginia",51685,Urban,25.0,2847,"1035 of 3143"
"El Paso County, Texas",48141,Urban,25.0,133861,"1036 of 3143"
"Marion County, Oregon",41047,Urban,25.0,57536,"1037 of 3143"
"Wayne County, New York",36117,Urban,25.0,16308,"1038 of 3143"
"Gaston County, North Carolina",37071,Urban,25.0,39741,"1039 of 3143"
"Delaware County, New York",36025,Rural,25.0,8288,"1040 of 3143"
"Saline County, Missouri",29195,Rural,25.0,3683,"1041 of 3143"
"Trego County, Kansas",20195,Rural,25.0,535,"1042 of 3143"
"Schoharie County, New York",36095,Urban,25.0,5369,"1043 of 3143"
"Hamilton County, Nebraska",31081,Rural,24.9,1598,"1044 of 3143"
"Sioux County, Nebraska",31165,Rural,24.9,195,"1045 of 3143"
"Waller County, Texas",48473,Urban,24.9,7887,"1046 of 3143"
"Callaway County, Missouri",29027,Urban,24.9,7677,"1047 of 3143"
"Decatur County, Iowa",19053,Rural,24.9,1184,"1048 of 3143"
"Cass County, Minnesota",27021,Rural,24.8,5519,"1049 of 3143"
"Tucker County, West Virginia",54093,Rural,24.8,1338,"1050 of 3143"
"Decatur County, Kansas",20039,Rural,24.8,522,"1051 of 3143"
"King William County, Virginia",51101,Urban,24.8,3068,"1052 of 3143"
"Harrison County, Mississippi",28047,Urban,24.8,34734,"1053 of 3143"
"Catawba County, North Carolina",37035,Urban,24.8,27802,"1054 of 3143"
"Tipton County, Indiana",18159,Urban,24.8,2722,"1055 of 3143"
"Petersburg Census Area, Alaska",02195,Rural,24.8,629,"1056 of 3143"
"Dearborn County, Indiana",18029,Urban,24.7,8761,"1057 of 3143"
"Jasper County, Missouri",29097,Urban,24.7,19993,"1058 of 3143"
"Lipscomb County, Texas",48295,Rural,24.7,463,"1059 of 3143"
"Burke County, North Dakota",38013,Rural,24.7,382,"1060 of 3143"
"Marion County, Missouri",29127,Rural,24.7,4788,"1061 of 3143"
"Wheeler County, Nebraska",31183,Rural,24.7,151,"1062 of 3143"
"Charles Mix County, South Dakota",46023,Rural,24.7,1397,"1063 of 3143"
"Itasca County, Minnesota",27061,Rural,24.7,8086,"1064 of 3143"
"Miami County, Ohio",39109,Urban,24.7,18592,"1065 of 3143"
"Harrison County, West Virginia",54033,Rural,24.7,11544,"1066 of 3143"
"Henry County, Illinois",17073,Urban,24.7,8586,"1067 of 3143"
"Le Sueur County, Minnesota",27079,Urban,24.7,4916,"1068 of 3143"
"Conejos County, Colorado",08021,Rural,24.6,1227,"1069 of 3143"
"Campbell County, Virginia",51031,Urban,24.6,9862,"1070 of 3143"
"Tom Green County, Texas",48451,Urban,24.6,19052,"1071 of 3143"
"McKenzie County, North Dakota",38053,Rural,24.6,2121,"1072 of 3143"
"Washington County, Maine",23029,Rural,24.6,5667,"1073 of 3143"
"Dawson County, Montana",30021,Rural,24.6,1532,"1074 of 3143"
"Garrett County, Maryland",24023,Rural,24.6,5279,"1075 of 3143"
"Clark County, Indiana",18019,Urban,24.6,20844,"1076 of 3143"
"Thomas County, Nebraska",31171,Rural,24.6,122,"1077 of 3143"
"Platte County, Nebraska",31141,Rural,24.6,5506,"1078 of 3143"
"Washington County, Virginia",51191,Urban,24.6,9890,"1079 of 3143"
"Lynn County, Texas",48305,Urban,24.6,901,"1080 of 3143"
"Hancock County, Illinois",17067,Rural,24.6,3111,"1081 of 3143"
"Chemung County, New York",36015,Urban,24.6,14476,"1082 of 3143"
"Windham County, Connecticut",09015,Urban,24.6,19980,"1083 of 3143"
"Luzerne County, Pennsylvania",42079,Urban,24.5,56755,"1084 of 3143"
"Anderson County, Tennessee",47001,Urban,24.5,13526,"1085 of 3143"
"Harlan County, Nebraska",31083,Rural,24.5,533,"1086 of 3143"
"Chouteau County, Montana",30015,Rural,24.5,1000,"1087 of 3143"
"Allegany County, New York",36003,Rural,24.5,7343,"1088 of 3143"
"Jefferson County, Kansas",20087,Urban,24.5,3177,"1089 of 3143"
"Delta County, Colorado",08029,Rural,24.5,5610,"1090 of 3143"
"Williams County, North Dakota",38105,Rural,24.5,5977,"1090 of 3143"
"Madison County, Virginia",51113,Rural,24.5,2478,"1092 of 3143"
"Texas County, Oklahoma",40139,Rural,24.5,3186,"1093 of 3143"
"Schuyler County, New York",36097,Rural,24.5,3252,"1094 of 3143"
"Washington County, Colorado",08121,Rural,24.5,825,"1095 of 3143"
"Cowley County, Kansas",20035,Rural,24.5,5612,"1096 of 3143"
"Stutsman County, North Dakota",38093,Rural,24.5,3673,"1097 of 3143"
"Pamlico County, North Carolina",37137,Rural,24.5,2390,"1098 of 3143"
"Macon County, North Carolina",37113,Rural,24.5,6831,"1099 of 3143"
"Madison County, Nebraska",31119,Rural,24.5,5688,"1100 of 3143"
"Lake County, Indiana",18089,Urban,24.5,82757,"1101 of 3143"
"Tuolumne County, California",06109,Rural,24.4,10283,"1102 of 3143"
"Yuma County, Colorado",08125,Rural,24.4,1629,"1103 of 3143"
"Steuben County, Indiana",18151,Rural,24.4,5798,"1104 of 3143"
"Clark County, Illinois",17023,Rural,24.4,2625,"1105 of 3143"
"Baker County, Oregon",41001,Rural,24.4,3031,"1106 of 3143"
"Grant County, South Dakota",46051,Rural,24.4,1283,"1107 of 3143"
"Washington County, Iowa",19183,Urban,24.4,3735,"1108 of 3143"
"Chase County, Nebraska",31029,Rural,24.4,627,"1109 of 3143"
"Red Willow County, Nebraska",31145,Rural,24.4,1800,"1110 of 3143"
"Rock County, Wisconsin",55105,Urban,24.4,27405,"1111 of 3143"
"Adams County, Pennsylvania",42001,Urban,24.4,17928,"1112 of 3143"
"Saguache County, Colorado",08109,Rural,24.4,1195,"1113 of 3143"
"Lycoming County, Pennsylvania",42081,Urban,24.4,19533,"1114 of 3143"
"Hancock County, Mississippi",28045,Urban,24.4,8196,"1115 of 3143"
"Baca County, Colorado",08009,Rural,24.4,610,"1116 of 3143"
"Graham County, Kansas",20065,Rural,24.4,434,"1117 of 3143"
"Camden County, North Carolina",37029,Urban,24.3,1775,"1118 of 3143"
"Logan County, North Dakota",38047,Rural,24.3,331,"1119 of 3143"
"Kingman County, Kansas",20095,Rural,24.3,1268,"1120 of 3143"
"Berkeley County, West Virginia",54003,Urban,24.3,20718,"1121 of 3143"
"Vernon County, Wisconsin",55123,Urban,24.3,5024,"1122 of 3143"
"Carson City, Nevada",32510,Urban,24.3,10205,"1123 of 3143"
"Sheridan County, Kansas",20179,Rural,24.3,407,"1124 of 3143"
"Potter County, South Dakota",46107,Rural,24.3,440,"1125 of 3143"
"Chautauqua County, New York",36013,Rural,24.3,21716,"1126 of 3143"
"Caddo Parish, Louisiana",22017,Urban,24.3,39070,"1127 of 3143"
"Esmeralda County, Nevada",32009,Rural,24.3,212,"1128 of 3143"
"Pickens County, Georgia",13227,Urban,24.3,5980,"1129 of 3143"
"Walton County, Georgia",13297,Urban,24.3,15946,"1130 of 3143"
"Lincoln County, New Mexico",35027,Rural,24.3,3731,"1131 of 3143"
"Fremont County, Wyoming",56013,Rural,24.3,6375,"1132 of 3143"
