County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Index)
"Ventura County, California",06111,Urban,0.6249
"Greenville County, South Carolina",45045,Urban,0.6246
"Erie County, Pennsylvania",42049,Urban,0.6242
"Daviess County, Indiana",18027,Rural,0.6239
"Tripp County, South Dakota",46123,Rural,0.6236
"Yadkin County, North Carolina",37197,Urban,0.6233
"Van Buren County, Tennessee",47175,Rural,0.6230
"Bristol County, Massachusetts",25005,Urban,0.6227
"Clay County, Alabama",01027,Rural,0.6223
"Jefferson County, Kentucky",21111,Urban,0.6220
"Canyon County, Idaho",16027,Urban,0.6217
"Lake County, Florida",12069,Urban,0.6214
"Mackinac County, Michigan",26097,Rural,0.6211
"Osage County, Oklahoma",40113,Urban,0.6207
"Marshall County, Alabama",01095,Rural,0.6201
"Solano County, California",06095,Urban,0.6201
"Franklin County, Arkansas",05047,Rural,0.6198
"Henry County, Alabama",01067,Urban,0.6195
"Llano County, Texas",48299,Rural,0.6192
"Baker County, Florida",12003,Urban,0.6188
"Elko County, Nevada",32007,Rural,0.6185
"St. Clair County, Missouri",29185,Rural,0.6182
"Mahoning County, Ohio",39099,Urban,0.6179
"Lebanon County, Pennsylvania",42075,Urban,0.6176
"Fannin County, Georgia",13111,Rural,0.6172
"Mora County, New Mexico",35033,Rural,0.6169
"Blount County, Alabama",01009,Urban,0.6166
"Monroe County, Mississippi",28095,Rural,0.6163
"Humboldt County, Nevada",32013,Rural,0.6160
"Hickory County, Missouri",29085,Rural,0.6157
"Gem County, Idaho",16045,Urban,0.6153
"Greene County, Tennessee",47059,Rural,0.6150
"Inyo County, California",06027,Rural,0.6147
"Collier County, Florida",12021,Urban,0.6141
"Roane County, West Virginia",54087,Rural,0.6141
"Shawnee County, Kansas",20177,Urban,0.6137
"St. Joseph County, Indiana",18141,Urban,0.6134
"Santa Cruz County, California",06087,Urban,0.6131
"Grainger County, Tennessee",47057,Urban,0.6128
"Winston County, Alabama",01133,Rural,0.6125
"Morgan County, Tennessee",47129,Urban,0.6122
"Henry County, Tennessee",47079,Rural,0.6118
"Mecklenburg County, North Carolina",37119,Urban,0.6115
"Webster County, Mississippi",28155,Rural,0.6112
"Daviess County, Kentucky",21059,Urban,0.6109
"Prince Edward County, Virginia",51147,Rural,0.6106
"Mecosta County, Michigan",26107,Rural,0.6102
"Alachua County, Florida",12001,Urban,0.6099
"Chaffee County, Colorado",08015,Rural,0.6096
"Chemung County, New York",36015,Urban,0.6093
"McCormick County, South Carolina",45065,Rural,0.6087
"Pontotoc County, Mississippi",28115,Rural,0.6087
"Wilkes County, Georgia",13317,Rural,0.6083
"Weakley County, Tennessee",47183,Rural,0.6080
"Polk County, Missouri",29167,Urban,0.6077
"Iron County, Missouri",29093,Rural,0.6074
"Foard County, Texas",48155,Rural,0.6071
"Curry County, Oregon",41015,Rural,0.6067
"Obion County, Tennessee",47131,Rural,0.6064
"Montezuma County, Colorado",08083,Rural,0.6061
"Garfield County, Colorado",08045,Rural,0.6058
"Essex County, Massachusetts",25009,Urban,0.6055
"Anchorage Borough, Alaska",02020,Urban,0.6052
"Staunton City, Virginia",51790,Urban,0.6048
"Upshur County, West Virginia",54097,Rural,0.6045
"Lincoln County, Mississippi",28085,Rural,0.6042
"Dallam County, Texas",48111,Rural,0.6039
"Marion County, Illinois",17121,Rural,0.6036
"Lamar County, Mississippi",28073,Urban,0.6032
"Russell County, Kentucky",21207,Rural,0.6029
"Adair County, Kentucky",21001,Rural,0.6026
"Toole County, Montana",30101,Rural,0.6023
"Union County, Illinois",17181,Rural,0.6020
"Upshur County, Texas",48459,Urban,0.6017
"Braxton County, West Virginia",54007,Rural,0.6013
"Gallia County, Ohio",39053,Rural,0.6010
"Androscoggin County, Maine",23001,Urban,0.6007
"Logan County, Colorado",08075,Rural,0.6004
"Perry County, Illinois",17145,Rural,0.6001
"Montgomery County, Tennessee",47125,Urban,0.5997
"Buncombe County, North Carolina",37021,Urban,0.5994
"Yavapai County, Arizona",04025,Urban,0.5991
"Abbeville County, South Carolina",45001,Rural,0.5988
"Madison County, Indiana",18095,Urban,0.5985
"Skagit County, Washington",53057,Urban,0.5982
"Minidoka County, Idaho",16067,Rural,0.5978
"Buchanan County, Virginia",51027,Rural,0.5975
"Pike County, Arkansas",05109,Rural,0.5972
"Douglas County, Missouri",29067,Rural,0.5969
"Martin County, Texas",48317,Urban,0.5966
"Oswego County, New York",36075,Urban,0.5962
"Montague County, Texas",48337,Rural,0.5959
"Richmond County, New York",36085,Urban,0.5956
"Charlotte County, Florida",12015,Urban,0.5953
"Dade County, Missouri",29057,Rural,0.5950
"Washita County, Oklahoma",40149,Rural,0.5947
"Monroe County, New York",36055,Urban,0.5943
"Douglas County, Nebraska",31055,Urban,0.5940
"East Feliciana Parish, Louisiana",22037,Urban,0.5937
"Mifflin County, Pennsylvania",42087,Rural,0.5934
"Ross County, Ohio",39141,Rural,0.5931
"Multnomah County, Oregon",41051,Urban,0.5927
"Osceola County, Michigan",26133,Rural,0.5924
"Perquimans County, North Carolina",37143,Rural,0.5921
"Morgan County, Kentucky",21175,Rural,0.5918
"Todd County, Minnesota",27153,Rural,0.5915
"Clearwater County, Idaho",16035,Rural,0.5912
"Hamilton County, Ohio",39061,Urban,0.5908
"St. Joseph County, Michigan",26149,Rural,0.5905
"Noble County, Ohio",39121,Rural,0.5902
"Bandera County, Texas",48019,Urban,0.5899
"Montgomery County, Kentucky",21173,Rural,0.5896
"Nez Perce County, Idaho",16069,Urban,0.5892
"Weld County, Colorado",08123,Urban,0.5889
"Switzerland County, Indiana",18155,Rural,0.5886
"Tazewell County, Virginia",51185,Rural,0.5883
"Onondaga County, New York",36067,Urban,0.5880
"Robertson County, Kentucky",21201,Rural,0.5870
"Yoakum County, Texas",48501,Rural,0.5870
"Washington County, Oklahoma",40147,Rural,0.5867
"Lincoln County, Arkansas",05079,Rural,0.5864
"Clallam County, Washington",53009,Rural,0.5861
"Washington County, Tennessee",47179,Urban,0.5857
"Allen County, Kansas",20001,Rural,0.5854
"Grayson County, Virginia",51077,Rural,0.5851
"Meigs County, Ohio",39105,Rural,0.5848
"Henry County, Kentucky",21103,Urban,0.5845
"Crawford County, Pennsylvania",42039,Rural,0.5842
"Sharp County, Arkansas",05135,Rural,0.5838
"Lincoln County, Kentucky",21137,Rural,0.5835
"Jefferson County, Indiana",18077,Rural,0.5832
"Jones County, Texas",48253,Urban,0.5829
"Jerome County, Idaho",16053,Urban,0.5826
"Geneva County, Alabama",01061,Urban,0.5822
"Burnet County, Texas",48053,Rural,0.5819
"Clatsop County, Oregon",41007,Rural,0.5813
"Clay County, Illinois",17025,Rural,0.5813
"Delta County, Colorado",08029,Rural,0.5810
"Scott County, Indiana",18143,Rural,0.5807
"Schleicher County, Texas",48413,Rural,0.5803
"Orleans County, New York",36073,Urban,0.5800
"Oscoda County, Michigan",26135,Rural,0.5797
"Bosque County, Texas",48035,Urban,0.5794
"Orange County, Indiana",18117,Rural,0.5791
"Franklin County, Mississippi",28037,Rural,0.5787
"Grant County, Oregon",41023,Rural,0.5784
"Chautauqua County, Kansas",20019,Rural,0.5781
"Sanders County, Montana",30089,Rural,0.5778
"Murray County, Oklahoma",40099,Rural,0.5775
"Athens County, Ohio",39009,Rural,0.5772
"Barry County, Missouri",29009,Rural,0.5768
"Montgomery County, Arkansas",05097,Rural,0.5765
"Lander County, Nevada",32015,Rural,0.5762
"Ingham County, Michigan",26065,Urban,0.5759
"Twin Falls County, Idaho",16083,Urban,0.5756
"Lavaca County, Texas",48285,Rural,0.5752
"Lincoln County, Nevada",32017,Rural,0.5749
"Leslie County, Kentucky",21131,Rural,0.5746
"Menominee County, Wisconsin",55078,Rural,0.5743
"Sullivan County, Indiana",18153,Urban,0.5740
"Seneca County, New York",36099,Rural,0.5737
"Vernon County, Missouri",29217,Rural,0.5733
"Mason County, Washington",53045,Rural,0.5730
"Charlottesville City, Virginia",51540,Urban,0.5727
"Yates County, New York",36123,Rural,0.5724
"Hardin County, Kentucky",21093,Urban,0.5721
"Pickens County, South Carolina",45077,Urban,0.5717
"Van Zandt County, Texas",48467,Rural,0.5714
"Isabella County, Michigan",26073,Rural,0.5711
"Honolulu County, Hawaii",15003,Urban,0.5708
"McMinn County, Tennessee",47107,Rural,0.5705
"Travis County, Texas",48453,Urban,0.5702
"Citrus County, Florida",12017,Urban,0.5698
"Ellis County, Texas",48139,Urban,0.5695
"Orange County, California",06059,Urban,0.5692
"Mitchell County, North Carolina",37121,Rural,0.5689
"Macon County, Tennessee",47111,Urban,0.5686
"Newton County, Missouri",29145,Urban,0.5682
"Putnam County, Georgia",13237,Rural,0.5679
"Menifee County, Kentucky",21165,Rural,0.5676
"Allen County, Ohio",39003,Urban,0.5673
"Riley County, Kansas",20161,Urban,0.5670
"Black Hawk County, Iowa",19013,Urban,0.5667
"Jackson County, Ohio",39079,Rural,0.5663
"Sevier County, Tennessee",47155,Rural,0.5660
"Lawrence County, Illinois",17101,Rural,0.5657
"Delaware County, Pennsylvania",42045,Urban,0.5654
"Colonial Heights City, Virginia",51570,Urban,0.5651
"Amador County, California",06005,Rural,0.5647
"Fayette County, Illinois",17051,Rural,0.5644
"Spokane County, Washington",53063,Urban,0.5638
"Hamilton County, Tennessee",47065,Urban,0.5635
"Ozark County, Missouri",29153,Rural,0.5632
"Lincoln County, Montana",30053,Rural,0.5628
"Massac County, Illinois",17127,Urban,0.5625
"Towns County, Georgia",13281,Rural,0.5622
"Claiborne County, Tennessee",47025,Rural,0.5619
"Pamlico County, North Carolina",37137,Rural,0.5616
"Vanderburgh County, Indiana",18163,Urban,0.5612
"Sabine County, Texas",48403,Rural,0.5609
"Pender County, North Carolina",37141,Urban,0.5606
"Denver County, Colorado",08031,Urban,0.5603
"Cassia County, Idaho",16031,Rural,0.5600
"Franklin County, New York",36033,Rural,0.5597
"Lyon County, Nevada",32019,Urban,0.5593
"Randolph County, Alabama",01111,Rural,0.5590
"Cass County, Indiana",18017,Rural,0.5587
"Woods County, Oklahoma",40151,Rural,0.5584
"Carter County, Kentucky",21043,Urban,0.5581
"Hemphill County, Texas",48211,Rural,0.5577
"Coles County, Illinois",17029,Rural,0.5574
"Baltimore County, Maryland",24005,Urban,0.5571
"Lewis County, West Virginia",54041,Rural,0.5568
"Butts County, Georgia",13035,Urban,0.5565
"Sonoma County, California",06097,Urban,0.5562
"Lackawanna County, Pennsylvania",42069,Urban,0.5558
"Hawkins County, Tennessee",47073,Urban,0.5555
"Allegany County, Maryland",24001,Rural,0.5552
"Jefferson Davis Parish, Louisiana",22053,Urban,0.5549
"Pocahontas County, West Virginia",54075,Rural,0.5546
"Fayette County, Kentucky",21067,Urban,0.5542
"Pennington County, South Dakota",46103,Urban,0.5539
"Putnam County, Tennessee",47141,Rural,0.5536
"Trumbull County, Ohio",39155,Urban,0.5533
"Davidson County, North Carolina",37057,Urban,0.5530
"Cleveland County, Oklahoma",40027,Urban,0.5527
"DeKalb County, Illinois",17037,Urban,0.5523
"Schoolcraft County, Michigan",26153,Rural,0.5520
"McCracken County, Kentucky",21145,Urban,0.5517
"Gallatin County, Kentucky",21077,Urban,0.5514
"Ulster County, New York",36111,Urban,0.5511
"Graves County, Kentucky",21083,Rural,0.5507
"Fremont County, Idaho",16043,Rural,0.5504
"Mineral County, Nevada",32021,Rural,0.5501
"Beauregard Parish, Louisiana",22011,Rural,0.5498
"Lewis County, Kentucky",21135,Rural,0.5495
"Jasper County, Georgia",13159,Urban,0.5492
"Lincoln County, Georgia",13181,Urban,0.5488
"Richmond County, Virginia",51159,Rural,0.5485
"Calloway County, Kentucky",21035,Rural,0.5482
"Briscoe County, Texas",48045,Rural,0.5479
"Dauphin County, Pennsylvania",42043,Urban,0.5476
"Baca County, Colorado",08009,Rural,0.5472
"Bingham County, Idaho",16011,Rural,0.5469
"Dallas County, Missouri",29059,Urban,0.5466
"Newaygo County, Michigan",26123,Rural,0.5463
"Garvin County, Oklahoma",40049,Rural,0.5460
"Carroll County, Tennessee",47017,Rural,0.5457
"Metcalfe County, Kentucky",21169,Rural,0.5453
"Gilmer County, Georgia",13123,Rural,0.5450
"Berkeley County, South Carolina",45015,Urban,0.5447
"Logan County, Arkansas",05083,Rural,0.5444
"Warren County, Illinois",17187,Rural,0.5441
"Webster County, Missouri",29225,Urban,0.5437
"Pierce County, Washington",53053,Urban,0.5434
"Butte County, South Dakota",46019,Rural,0.5431
"Grayson County, Kentucky",21085,Rural,0.5428
"Morgan County, Ohio",39115,Rural,0.5425
"Wise County, Texas",48497,Urban,0.5422
"Noble County, Indiana",18113,Rural,0.5418
"Fulton County, Indiana",18049,Rural,0.5415
"Clark County, Idaho",16033,Rural,0.5412
"Clinton County, Pennsylvania",42035,Rural,0.5409
"Mille Lacs County, Minnesota",27095,Urban,0.5406
"Piute County, Utah",49031,Rural,0.5402
"Lancaster County, Pennsylvania",42071,Urban,0.5399
"Macon County, Illinois",17115,Urban,0.5396
"Person County, North Carolina",37145,Urban,0.5393
"McDonough County, Illinois",17109,Rural,0.5390
"Huerfano County, Colorado",08055,Rural,0.5383
"Kandiyohi County, Minnesota",27067,Rural,0.5383
"Clay County, West Virginia",54015,Urban,0.5380
"Carbon County, Wyoming",56007,Rural,0.5377
"Allen County, Indiana",18003,Urban,0.5374
"Unicoi County, Tennessee",47171,Urban,0.5371
"Moniteau County, Missouri",29135,Urban,0.5367
"Benton County, Missouri",29015,Rural,0.5364
"Duchesne County, Utah",49013,Rural,0.5361
"Kearny County, Kansas",20093,Rural,0.5358
"Adams County, Indiana",18001,Rural,0.5355
"Guernsey County, Ohio",39059,Rural,0.5352
"Lyon County, Minnesota",27083,Rural,0.5348
"Young County, Texas",48503,Rural,0.5345
"Wrangell Borough, Alaska",02275,Rural,0.5342
"Kanawha County, West Virginia",54039,Urban,0.5339
"Chilton County, Alabama",01021,Urban,0.5336
"Scurry County, Texas",48415,Rural,0.5332
"Richland County, Ohio",39139,Urban,0.5329
"Faulkner County, Arkansas",05045,Urban,0.5326
"Ellis County, Oklahoma",40045,Rural,0.5323
"St. Clair County, Illinois",17163,Urban,0.5320
"Greene County, Missouri",29077,Urban,0.5317
"Luce County, Michigan",26095,Rural,0.5313
"Big Horn County, Wyoming",56003,Rural,0.5310
"Yancey County, North Carolina",37199,Rural,0.5307
"Boyle County, Kentucky",21021,Rural,0.5304
"Georgetown County, South Carolina",45043,Rural,0.5301
"Uintah County, Utah",49047,Rural,0.5297
"Johnston County, North Carolina",37101,Urban,0.5294
"Rockcastle County, Kentucky",21203,Rural,0.5291
"Lewis County, Tennessee",47101,Rural,0.5288
"Laurel County, Kentucky",21125,Rural,0.5285
"Gilliam County, Oregon",41021,Rural,0.5282
"Mercer County, Pennsylvania",42085,Rural,0.5278
"Greene County, Indiana",18055,Rural,0.5275
"Madison County, Arkansas",05087,Urban,0.5272
"Bath County, Kentucky",21011,Rural,0.5269
"Okaloosa County, Florida",12091,Urban,0.5266
"Harrison County, Ohio",39067,Rural,0.5262
"Adams County, Wisconsin",55001,Rural,0.5259
"Guadalupe County, Texas",48187,Urban,0.5256
"Bond County, Illinois",17005,Urban,0.5253
"Hood County, Texas",48221,Rural,0.5250
"Goliad County, Texas",48175,Urban,0.5243
"Decatur County, Iowa",19053,Rural,0.5240
"Bourbon County, Kentucky",21017,Urban,0.5237
"Fayette County, Texas",48149,Rural,0.5234
"Jackson County, Wisconsin",55053,Rural,0.5231
"San Luis Obispo County, California",06079,Urban,0.5227
"Fayette County, Pennsylvania",42051,Urban,0.5224
"Pendleton County, Kentucky",21191,Urban,0.5221
"Stephenson County, Illinois",17177,Rural,0.5218
"Kenosha County, Wisconsin",55059,Urban,0.5215
"Montgomery County, Texas",48339,Urban,0.5212
"Cayuga County, New York",36011,Rural,0.5208
"Creek County, Oklahoma",40037,Urban,0.5205
"Gladwin County, Michigan",26051,Rural,0.5202
"Idaho County, Idaho",16049,Rural,0.5199
"Cleburne County, Alabama",01029,Rural,0.5196
"Grundy County, Tennessee",47061,Rural,0.5192
"Randolph County, West Virginia",54083,Rural,0.5189
"Whitman County, Washington",53075,Rural,0.5186
"Sussex County, Delaware",10005,Rural,0.5183
"Crittenden County, Kentucky",21055,Rural,0.5180
"Hardin County, Ohio",39065,Rural,0.5177
"Wyoming County, West Virginia",54109,Rural,0.5173
"Searcy County, Arkansas",05129,Rural,0.5170
"Rio Blanco County, Colorado",08103,Rural,0.5167
"Montrose County, Colorado",08085,Rural,0.5164
"Daviess County, Missouri",29061,Rural,0.5157
"Polk County, Tennessee",47139,Urban,0.5157
"White County, Tennessee",47185,Rural,0.5154
"Lawrence County, Pennsylvania",42073,Urban,0.5151
"Runnels County, Texas",48399,Rural,0.5148
"Indian River County, Florida",12061,Urban,0.5145
"Delaware County, New York",36025,Rural,0.5142
"Dodge County, Nebraska",31053,Rural,0.5135
"Somervell County, Texas",48425,Rural,0.5135
"New Castle County, Delaware",10003,Urban,0.5132
"Alameda County, California",06001,Urban,0.5129
"Bourbon County, Kansas",20011,Rural,0.5126
"Conecuh County, Alabama",01035,Rural,0.5122
"Swift County, Minnesota",27151,Rural,0.5119
"Sanpete County, Utah",49039,Rural,0.5116
"Randolph County, Indiana",18135,Rural,0.5113
"Muskingum County, Ohio",39119,Rural,0.5110
"Barber County, Kansas",20007,Rural,0.5107
"Clark County, Kentucky",21049,Urban,0.5100
"Worcester County, Massachusetts",25027,Urban,0.5100
"Madison County, Missouri",29123,Rural,0.5097
"San Benito County, California",06069,Urban,0.5094
"Lycoming County, Pennsylvania",42081,Urban,0.5091
"Tippecanoe County, Indiana",18157,Urban,0.5087
"Kane County, Illinois",17089,Urban,0.5084
"Greene County, Georgia",13133,Rural,0.5081
"Owsley County, Kentucky",21189,Rural,0.5078
"Lancaster County, Virginia",51103,Rural,0.5075
"Forest County, Pennsylvania",42053,Rural,0.5072
"Sullivan County, Missouri",29211,Rural,0.5068
"Rowan County, Kentucky",21205,Rural,0.5065
"Williams County, North Dakota",38105,Rural,0.5062
"Monroe County, Missouri",29137,Rural,0.5059
"Wexford County, Michigan",26165,Rural,0.5056
"Reagan County, Texas",48383,Rural,0.5052
"Burleson County, Texas",48051,Urban,0.5049
"LaPorte County, Indiana",18091,Urban,0.5046
"DeBaca County, New Mexico",35011,Rural,0.5043
"Sequatchie County, Tennessee",47153,Urban,0.5040
"Boundary County, Idaho",16021,Rural,0.5037
"Aleutians West Census Area, Alaska",02016,Rural,0.5033
"Hardin County, Tennessee",47071,Rural,0.5030
"Ketchikan Gateway Borough, Alaska",02130,Rural,0.5027
"Walworth County, South Dakota",46129,Rural,0.5024
"Mower County, Minnesota",27099,Rural,0.5021
"Clearfield County, Pennsylvania",42033,Rural,0.5017
"Jackson County, Michigan",26075,Urban,0.5014
"Reno County, Kansas",20155,Rural,0.5011
"Saline County, Kansas",20169,Rural,0.5008
"Benton County, Oregon",41003,Urban,0.5005
"Whatcom County, Washington",53073,Urban,0.5002
"Cass County, Illinois",17017,Rural,0.4998
"Bannock County, Idaho",16005,Urban,0.4995
"Sherman County, Kansas",20181,Rural,0.4992
"Saline County, Nebraska",31151,Rural,0.4989
"Freeborn County, Minnesota",27047,Rural,0.4986
"Buena Vista City, Virginia",51530,Rural,0.4983
"Pawnee County, Oklahoma",40117,Urban,0.4979
"Hocking County, Ohio",39073,Urban,0.4976
"Schley County, Georgia",13249,Rural,0.4973
"Knox County, Indiana",18083,Rural,0.4970
"Calhoun County, Arkansas",05013,Rural,0.4967
"Box Butte County, Nebraska",31013,Rural,0.4963
"Warren County, Virginia",51187,Urban,0.4960
"Schuyler County, Illinois",17169,Rural,0.4957
"Jefferson County, Tennessee",47089,Urban,0.4954
"Marion County, Tennessee",47115,Urban,0.4951
"Kimble County, Texas",48267,Rural,0.4948
"Pottawattamie County, Iowa",19155,Urban,0.4944
"Labette County, Kansas",20099,Rural,0.4941
"Maui County, Hawaii",15009,Urban,0.4938
"Morgan County, Illinois",17137,Rural,0.4935
"Union County, Georgia",13291,Rural,0.4932
"Schuylkill County, Pennsylvania",42107,Rural,0.4928
"Fairbanks North Star, Alaska",02090,Urban,0.4925
"Lauderdale County, Alabama",01077,Urban,0.4919
"Pine County, Minnesota",27115,Rural,0.4919
"Webster County, West Virginia",54101,Rural,0.4916
"Erie County, New York",36029,Urban,0.4913
"Cullman County, Alabama",01043,Rural,0.4909
"Macon County, North Carolina",37113,Rural,0.4906
"Cottonwood County, Minnesota",27033,Rural,0.4903
"Pawnee County, Nebraska",31133,Rural,0.4900
"Randolph County, Illinois",17157,Rural,0.4897
"Montgomery County, Maryland",24031,Urban,0.4893
"Barrow County, Georgia",13013,Urban,0.4887
"Houston County, Georgia",13153,Urban,0.4887
"Manassas City, Virginia",51683,Urban,0.4884
"Meigs County, Tennessee",47121,Rural,0.4881
"Mercer County, Missouri",29129,Rural,0.4878
"Schenectady County, New York",36093,Urban,0.4874
"Franklin County, Illinois",17055,Rural,0.4871
"St. Tammany Parish, Louisiana",22103,Urban,0.4868
"Coos County, New Hampshire",33007,Rural,0.4862
"Wichita County, Kansas",20203,Rural,0.4858
"Lexington County, South Carolina",45063,Urban,0.4855
"Ashland County, Wisconsin",55003,Rural,0.4852
"Gilmer County, West Virginia",54021,Rural,0.4849
"Juniata County, Pennsylvania",42067,Rural,0.4846
"Wayne County, Illinois",17191,Rural,0.4843
"Sullivan County, Tennessee",47163,Urban,0.4839
"Hansford County, Texas",48195,Rural,0.4836
"Chenango County, New York",36017,Rural,0.4833
"Hillsdale County, Michigan",26059,Rural,0.4830
"Moultrie County, Illinois",17139,Rural,0.4827
"Carter County, Missouri",29035,Rural,0.4823
"San Francisco County, California",06075,Urban,0.4820
"Brevard County, Florida",12009,Urban,0.4817
"Maries County, Missouri",29125,Rural,0.4814
"Baker County, Oregon",41001,Rural,0.4811
"Coosa County, Alabama",01037,Rural,0.4808
"Piscataquis County, Maine",23021,Rural,0.4804
"Blackford County, Indiana",18009,Rural,0.4801
"Chambers County, Texas",48071,Urban,0.4798
"Matanuska-Susitna Borough, Alaska",02170,Urban,0.4792
"Muscatine County, Iowa",19139,Rural,0.4792
"Suffolk City, Virginia",51800,Urban,0.4788
"Contra Costa County, California",06013,Urban,0.4785
"Kershaw County, South Carolina",45055,Urban,0.4782
"Vernon County, Wisconsin",55123,Urban,0.4779
"Hancock County, Mississippi",28045,Urban,0.4776
"Transylvania County, North Carolina",37175,Rural,0.4773
"Adams County, Nebraska",31001,Rural,0.4769
"Ogemaw County, Michigan",26129,Rural,0.4766
"Highland County, Ohio",39071,Rural,0.4763
"Ripley County, Missouri",29181,Rural,0.4760
"Missaukee County, Michigan",26113,Rural,0.4757
"Brown County, Illinois",17009,Rural,0.4753
"Lake County, Illinois",17097,Urban,0.4750
"Ramsey County, North Dakota",38071,Rural,0.4747
"Lawrence County, Kentucky",21127,Urban,0.4744
"Ohio County, West Virginia",54069,Urban,0.4741
"Jeff Davis County, Texas",48243,Rural,0.4738
"Cameron County, Pennsylvania",42023,Rural,0.4734
"Lamar County, Alabama",01075,Rural,0.4731
"Atchison County, Kansas",20005,Rural,0.4728
"Kenai Peninsula Borough, Alaska",02122,Rural,0.4725
"Sweetwater County, Wyoming",56037,Rural,0.4722
"Cherokee County, Kansas",20021,Urban,0.4718
"Nemaha County, Nebraska",31127,Rural,0.4712
"Scott County, Virginia",51169,Urban,0.4712
"Livingston Parish, Louisiana",22063,Urban,0.4709
"Rains County, Texas",48379,Rural,0.4706
"Harrison County, West Virginia",54033,Rural,0.4703
"Hampshire County, West Virginia",54027,Urban,0.4699
"Calhoun County, West Virginia",54013,Rural,0.4696
"Mills County, Texas",48333,Rural,0.4693
"Beaufort County, South Carolina",45013,Urban,0.4690
"Hartley County, Texas",48205,Rural,0.4683
"Steuben County, New York",36101,Rural,0.4683
"McKenzie County, North Dakota",38053,Rural,0.4680
"Perry County, Tennessee",47135,Rural,0.4677
"Racine County, Wisconsin",55101,Urban,0.4674
"Logan County, Kentucky",21141,Rural,0.4671
"West Feliciana Parish, Louisiana",22125,Urban,0.4668
"Arapahoe County, Colorado",08005,Urban,0.4661
"Champaign County, Illinois",17019,Urban,0.4658
"Boone County, Illinois",17007,Urban,0.4655
"Stevens County, Washington",53065,Urban,0.4652
"La Salle Parish, Louisiana",22059,Rural,0.4648
"Oglethorpe County, Georgia",13221,Urban,0.4645
"Martin County, Florida",12085,Urban,0.4642
"Edwards County, Kansas",20047,Rural,0.4639
"Clay County, Kansas",20027,Rural,0.4636
"Madison County, Nebraska",31119,Rural,0.4633
"Dickenson County, Virginia",51051,Rural,0.4629
"Jay County, Indiana",18075,Rural,0.4626
"Echols County, Georgia",13101,Urban,0.4623
"Baylor County, Texas",48023,Rural,0.4620
"Lincoln County, Nebraska",31111,Rural,0.4617
"Sanilac County, Michigan",26151,Rural,0.4613
"Albany County, New York",36001,Urban,0.4610
"Montcalm County, Michigan",26117,Urban,0.4607
"El Paso County, Colorado",08041,Urban,0.4604
"Prairie County, Arkansas",05117,Rural,0.4601
"Rice County, Minnesota",27131,Rural,0.4598
"Haines Borough, Alaska",02100,Rural,0.4594
"Preston County, West Virginia",54077,Urban,0.4591
"Marion County, Arkansas",05089,Rural,0.4588
"Davis County, Iowa",19051,Rural,0.4585
"Grand County, Utah",49019,Rural,0.4582
"Douglas County, Illinois",17041,Rural,0.4578
"Lancaster County, South Carolina",45057,Urban,0.4575
"Stearns County, Minnesota",27145,Urban,0.4572
"Franklin County, Maine",23007,Rural,0.4569
"Wilson County, Kansas",20205,Rural,0.4566
"Barbour County, West Virginia",54001,Rural,0.4563
"Alexander County, North Carolina",37003,Urban,0.4559
"Jackson County, Indiana",18071,Rural,0.4556
"Chester County, Tennessee",47023,Urban,0.4553
"Montgomery County, Indiana",18107,Rural,0.4550
"Appanoose County, Iowa",19007,Rural,0.4547
"Allegany County, New York",36003,Rural,0.4543
"Bartow County, Georgia",13015,Urban,0.4540
"Greenbrier County, West Virginia",54025,Rural,0.4537
"Silver Bow County, Montana",30093,Rural,0.4534
"Union County, Pennsylvania",42119,Rural,0.4531
"Indiana County, Pennsylvania",42063,Rural,0.4528
"Giles County, Tennessee",47055,Rural,0.4524
"Gallatin County, Illinois",17059,Rural,0.4521
"Ashe County, North Carolina",37009,Rural,0.4518
"Fort Bend County, Texas",48157,Urban,0.4515
"Salt Lake County, Utah",49035,Urban,0.4512
"Benton County, Tennessee",47005,Rural,0.4508
"Howard County, Indiana",18067,Urban,0.4505
"Millard County, Utah",49027,Rural,0.4502
"Lorain County, Ohio",39093,Urban,0.4499
"Decatur County, Tennessee",47039,Rural,0.4496
"Marshall County, Indiana",18099,Rural,0.4493
"Wagoner County, Oklahoma",40145,Urban,0.4489
"Lewis County, Missouri",29111,Rural,0.4486
"Catron County, New Mexico",35003,Rural,0.4483
"Surry County, Virginia",51181,Urban,0.4480
"Polk County, Iowa",19153,Urban,0.4477
"Bonneville County, Idaho",16019,Urban,0.4473
"Dutchess County, New York",36027,Urban,0.4470
"Colbert County, Alabama",01033,Urban,0.4467
"Kent County, Michigan",26081,Urban,0.4464
"Wallowa County, Oregon",41063,Rural,0.4461
"Noble County, Oklahoma",40103,Rural,0.4458
"Niagara County, New York",36063,Urban,0.4454
"St. Charles Parish, Louisiana",22089,Urban,0.4451
"Winkler County, Texas",48495,Rural,0.4448
"Clinton County, New York",36019,Rural,0.4445
"Sitka Borough, Alaska",02220,Rural,0.4442
"King County, Texas",48269,Rural,0.4438
"Cascade County, Montana",30013,Urban,0.4435
"Monroe County, Wisconsin",55081,Rural,0.4432
"Shannon County, Missouri",29203,Rural,0.4429
"Cumberland County, Virginia",51049,Rural,0.4426
"Hill County, Montana",30041,Rural,0.4419
