County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Cheboygan County, Michigan",26031,Rural,59557.000000000,"1701 of 3142"
"Miami County, Indiana",18103,Rural,59551.000000000,"1702 of 3142"
"Dade County, Georgia",13083,Urban,59531.000000000,"1703 of 3142"
"Clinton County, Indiana",18023,Rural,59515.000000000,"1704 of 3142"
"Lassen County, California",06035,Rural,59515.000000000,"1704 of 3142"
"Keith County, Nebraska",31101,Rural,59511.000000000,"1706 of 3142"
"Marion County, Indiana",18097,Urban,59504.000000000,"1707 of 3142"
"Manistee County, Michigan",26101,Rural,59467.000000000,"1708 of 3142"
"Columbia County, Pennsylvania",42037,Rural,59457.000000000,"1709 of 3142"
"Pontotoc County, Oklahoma",40123,Rural,59457.000000000,"1709 of 3142"
"Penobscot County, Maine",23019,Urban,59438.000000000,"1711 of 3142"
"Pueblo County, Colorado",08101,Urban,59436.000000000,"1712 of 3142"
"Meigs County, Tennessee",47121,Rural,59434.000000000,"1713 of 3142"
"Washington County, Kansas",20201,Rural,59432.000000000,"1714 of 3142"
"Washington County, Oklahoma",40147,Rural,59426.000000000,"1715 of 3142"
"Hillsdale County, Michigan",26059,Rural,59425.000000000,"1716 of 3142"
"Gove County, Kansas",20063,Rural,59417.000000000,"1717 of 3142"
"Iberville Parish, Louisiana",22047,Urban,59410.000000000,"1718 of 3142"
"Robertson County, Texas",48395,Urban,59410.000000000,"1718 of 3142"
"Hayes County, Nebraska",31085,Rural,59405.000000000,"1720 of 3142"
"Perquimans County, North Carolina",37143,Rural,59401.000000000,"1721 of 3142"
"Sumner County, Kansas",20191,Urban,59397.000000000,"1722 of 3142"
"Erie County, Pennsylvania",42049,Urban,59396.000000000,"1723 of 3142"
"Blair County, Pennsylvania",42013,Urban,59386.000000000,"1724 of 3142"
"Barron County, Wisconsin",55005,Rural,59379.000000000,"1725 of 3142"
"King County, Texas",48269,Rural,59375.000000000,"1726 of 3142"
"Jones County, Texas",48253,Urban,59361.000000000,"1727 of 3142"
"Pend Oreille County, Washington",53051,Rural,59353.000000000,"1728 of 3142"
"Clark County, South Dakota",46025,Rural,59340.000000000,"1729 of 3142"
"Pecos County, Texas",48371,Rural,59325.000000000,"1730 of 3142"
"Milwaukee County, Wisconsin",55079,Urban,59319.000000000,"1731 of 3142"
"Mills County, Texas",48333,Rural,59315.000000000,"1732 of 3142"
"Lee County, Alabama",01081,Urban,59288.000000000,"1733 of 3142"
"Venango County, Pennsylvania",42121,Rural,59278.000000000,"1734 of 3142"
"Wayne County, Pennsylvania",42127,Rural,59240.000000000,"1735 of 3142"
"Hernando County, Florida",12053,Urban,59202.000000000,"1736 of 3142"
"Sussex County, Virginia",51183,Urban,59195.000000000,"1737 of 3142"
"Grand County, Utah",49019,Rural,59171.000000000,"1738 of 3142"
"Lincoln County, Colorado",08073,Rural,59167.000000000,"1739 of 3142"
"Stutsman County, North Dakota",38093,Rural,59167.000000000,"1739 of 3142"
"Tyler County, West Virginia",54095,Rural,59167.000000000,"1739 of 3142"
"Wahkiakum County, Washington",53069,Rural,59167.000000000,"1739 of 3142"
"Wheeler County, Nebraska",31183,Rural,59167.000000000,"1739 of 3142"
"Crockett County, Tennessee",47033,Urban,59136.000000000,"1744 of 3142"
"Washington County, Virginia",51191,Urban,59116.000000000,"1745 of 3142"
"Grays Harbor County, Washington",53027,Rural,59105.000000000,"1746 of 3142"
"Carroll County, Missouri",29033,Rural,59101.000000000,"1747 of 3142"
"Marion County, Illinois",17121,Rural,59099.000000000,"1748 of 3142"
"Washington County, Colorado",08121,Rural,59087.000000000,"1749 of 3142"
"Newaygo County, Michigan",26123,Rural,59065.000000000,"1750 of 3142"
"Washington County, Ohio",39167,Rural,59053.000000000,"1751 of 3142"
"Moore County, Texas",48341,Rural,59041.000000000,"1752 of 3142"
"Tehama County, California",06103,Rural,59029.000000000,"1753 of 3142"
"Howard County, Missouri",29089,Urban,59023.000000000,"1754 of 3142"
"Campbell County, Virginia",51031,Urban,59022.000000000,"1755 of 3142"
"Roberts County, South Dakota",46109,Rural,59022.000000000,"1755 of 3142"
"Clinton County, Pennsylvania",42035,Rural,59011.000000000,"1757 of 3142"
