
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

"Pap Test in Past 3 Years, No Hysterectomy"
"All Races (includes Hispanic), Female, Ages 21-65"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Roscommon County, Michigan",26143,77.9 ,60.7, 92.2
"Vernon Parish, Louisiana",22115,77.9 ,63.7, 90.2
"Alachua County, Florida",12001,77.8 ,65.7, 88.8
"Aleutians West Census Area, Alaska",02016,77.8 ,63.9, 90.1
"Bartow County, Georgia",13015,77.8 ,66.5, 87.8
"Bullitt County, Kentucky",21029,77.8 ,68.3, 86.4
"Chippewa County, Michigan",26033,77.8 ,63.0, 90.5
"Clay County, Georgia",13061,77.8 ,62.9, 90.6
"Dorchester County, Maryland",24019,77.8 ,66.8, 88.1
"Giles County, Virginia",51071,77.8 ,62.8, 90.6
"Guadalupe County, New Mexico",35019,77.8 ,60.3, 92.1
"Logan County, Ohio",39091,77.8 ,64.2, 89.8
"Mono County, California",06051,77.8 ,62.7, 90.7
"Pipestone County, Minnesota",27117,77.8 ,63.0, 90.7
"Platte County, Missouri",29165,77.8 ,71.3, 83.8
"Plymouth County, Massachusetts",25023,77.8 ,69.6, 85.6
"Putnam County, Ohio",39137,77.8 ,65.3, 89.0
"Allegany County, New York",36003,77.7 ,66.7, 88.0
"Bernalillo County, New Mexico",35001,77.7 ,69.9, 85.1
"Muscogee County, Georgia",13215,77.7 ,66.0, 88.5
"Page County, Iowa",19145,77.7 ,64.1, 89.5
"Palo Pinto County, Texas",48363,77.7 ,62.9, 90.4
"Richmond County, Virginia",51159,77.7 ,63.8, 89.9
"Taylor County, Texas",48441,77.7 ,62.3, 90.9
"Alexander County, North Carolina",37003,77.6 ,59.5, 92.3
"Atchison County, Missouri",29005,77.6 ,62.6, 90.5
"Bates County, Missouri",29013,77.6 ,63.6, 89.8
"Chautauqua County, New York",36013,77.6 ,67.0, 87.7
"Cherokee County, Oklahoma",40021,77.6 ,64.6, 89.1
"Grand Isle County, Vermont",50013,77.6 ,64.3, 89.5
"James City County, Virginia",51095,77.6 ,65.3, 88.7
"Platte County, Nebraska",31141,77.6 ,66.5, 87.8
"Allen County, Kentucky",21003,77.5 ,62.5, 90.4
"Clay County, Iowa",19041,77.5 ,62.7, 90.5
"Clay County, Mississippi",28025,77.5 ,62.6, 90.3
"Fayette County, Alabama",01057,77.5 ,60.0, 91.8
"Greenlee County, Arizona",04011,77.5 ,63.3, 89.8
"Louisa County, Iowa",19115,77.5 ,63.4, 89.9
"Otero County, Colorado",08089,77.5 ,62.2, 90.6
"Putnam County, West Virginia",54079,77.5 ,65.2, 88.8
"Westchester County, New York",36119,77.5 ,67.9, 86.4
"Wilkinson County, Georgia",13319,77.5 ,62.5, 90.2
"Broome County, New York",36007,77.4 ,67.8, 86.5
"Cleveland County, Arkansas",05025,77.4 ,62.7, 90.2
"Dewey County, South Dakota",46041,77.4 ,65.6, 88.3
"Fayette County, Illinois",17051,77.4 ,60.1, 91.9
"Gallia County, Ohio",39053,77.4 ,64.6, 88.8
"Jo Daviess County, Illinois",17085,77.4 ,60.0, 91.9
"Madison County, Mississippi",28089,77.4 ,64.6, 88.8
"Washington County, Illinois",17189,77.4 ,59.8, 91.9
"Waukesha County, Wisconsin",55133,77.4 ,67.9, 86.1
"Boone County, Illinois",17007,77.3 ,62.5, 89.9
"Columbia County, Wisconsin",55021,77.3 ,65.2, 88.0
"Concordia Parish, Louisiana",22029,77.3 ,62.4, 90.1
"Crawford County, Arkansas",05033,77.3 ,64.0, 89.0
"Fairfield County, Ohio",39045,77.3 ,64.6, 88.5
"Hancock County, Maine",23009,77.3 ,66.6, 87.6
"Jackson County, Kansas",20085,77.3 ,63.5, 89.5
"Mercer County, Kentucky",21167,77.3 ,62.3, 90.2
"Philadelphia County, Pennsylvania",42101,77.3 ,70.7, 83.6
"Pulaski County, Georgia",13235,77.3 ,59.0, 92.2
"Randolph County, Illinois",17157,77.3 ,59.6, 91.8
"Rush County, Indiana",18139,77.3 ,64.6, 88.5
"Worth County, Georgia",13321,77.3 ,59.4, 92.2
"Atascosa County, Texas",48013,77.2 ,58.8, 92.1
"Bibb County, Alabama",01007,77.2 ,61.6, 90.5
"Burt County, Nebraska",31021,77.2 ,64.0, 88.9
"Dakota County, Minnesota",27037,77.2 ,68.4, 85.5
"Falls Church City, Virginia",51610,77.2 ,62.2, 90.0
"Gunnison County, Colorado",08051,77.2 ,61.9, 90.3
"Jefferson County, Kentucky",21111,77.2 ,72.0, 82.2
"Jefferson Parish, Louisiana",22051,77.2 ,68.3, 85.5
"Logan County, Colorado",08075,77.2 ,63.2, 89.4
"Ogemaw County, Michigan",26129,77.2 ,64.0, 88.9
"Skagway Municipality, Alaska",02230,77.2 ,59.4, 91.7
"St. Helena Parish, Louisiana",22091,77.2 ,66.0, 87.2
"St. James Parish, Louisiana",22093,77.2 ,62.7, 89.7
"Woodbury County, Iowa",19193,77.2 ,65.7, 88.0
"Aransas County, Texas",48007,77.1 ,59.0, 92.1
"Carlisle County, Kentucky",21039,77.1 ,59.3, 91.8
"Clay County, Minnesota",27027,77.1 ,64.7, 88.5
"Fond du Lac County, Wisconsin",55039,77.1 ,63.0, 89.4
"Kalkaska County, Michigan",26079,77.1 ,61.8, 90.3
"Newport News City, Virginia",51700,77.1 ,66.0, 87.2
"Pasquotank County, North Carolina",37139,77.1 ,63.2, 89.3
"Union County, Oregon",41061,77.1 ,63.7, 89.1
"Warren County, Ohio",39165,77.1 ,66.3, 86.9
"Brooks County, Georgia",13027,77.0 ,60.1, 91.2
"Burnett County, Wisconsin",55013,77.0 ,61.5, 90.2
"Crook County, Oregon",41013,77.0 ,62.8, 89.5
"Jackson County, Mississippi",28059,77.0 ,65.1, 87.9
"Lee County, Georgia",13177,77.0 ,62.2, 89.9
"Manassas Park City, Virginia",51685,77.0 ,58.6, 92.0
"Montgomery County, North Carolina",37123,77.0 ,59.3, 91.5
"Park County, Colorado",08093,77.0 ,61.3, 90.2
"Sheridan County, Montana",30091,77.0 ,61.0, 90.8
"Warren County, Mississippi",28149,77.0 ,63.3, 89.2
"Webster County, West Virginia",54101,77.0 ,61.0, 90.7
"Anne Arundel County, Maryland",24003,76.9 ,67.3, 86.1
"Armstrong County, Pennsylvania",42005,76.9 ,63.3, 88.9
"Belmont County, Ohio",39013,76.9 ,65.0, 88.0
"Collier County, Florida",12021,76.9 ,66.5, 86.3
"Dallas County, Alabama",01047,76.9 ,64.3, 88.4
"Douglas County, Minnesota",27041,76.9 ,64.2, 88.5
"Loudoun County, Virginia",51107,76.9 ,67.2, 85.8
"Mecklenburg County, North Carolina",37119,76.9 ,68.0, 85.1
"Merrimack County, New Hampshire",33013,76.9 ,67.9, 85.5
"Mills County, Iowa",19129,76.9 ,63.1, 89.0
"Perry County, Ohio",39127,76.9 ,63.0, 89.1
"Pike County, Alabama",01109,76.9 ,62.6, 89.4
"Pontotoc County, Mississippi",28115,76.9 ,63.7, 88.8
"St. Lucie County, Florida",12111,76.9 ,66.1, 86.9
"Washington County, Pennsylvania",42125,76.9 ,64.9, 87.8
"Worcester County, Massachusetts",25027,76.9 ,70.1, 83.3
"Bedford County, Pennsylvania",42009,76.8 ,61.9, 89.8
"Carroll County, Mississippi",28015,76.8 ,61.8, 90.1
"Cheyenne County, Colorado",08017,76.8 ,58.8, 91.5
"Dickson County, Tennessee",47043,76.8 ,60.1, 91.0
"Fulton County, Kentucky",21075,76.8 ,61.5, 90.0
"Grafton County, New Hampshire",33009,76.8 ,65.8, 87.3
"Halifax County, North Carolina",37083,76.8 ,61.9, 89.9
"Lauderdale County, Mississippi",28075,76.8 ,66.0, 87.1
"Marion County, Missouri",29127,76.8 ,62.0, 89.8
"Noble County, Indiana",18113,76.8 ,63.4, 88.8
"Nueces County, Texas",48355,76.8 ,65.1, 87.1
"Stanton County, Kansas",20187,76.8 ,58.8, 91.8
"Thomas County, Kansas",20193,76.8 ,61.5, 89.8
"Washington County, North Carolina",37187,76.8 ,61.5, 90.0
"Clark County, South Dakota",46025,76.7 ,58.8, 91.5
"Cumberland County, Maine",23005,76.7 ,66.6, 86.6
"Dade County, Georgia",13083,76.7 ,61.5, 89.9
"El Dorado County, California",06017,76.7 ,63.9, 88.0
"Hancock County, Iowa",19081,76.7 ,61.9, 89.5
"Jenkins County, Georgia",13165,76.7 ,59.0, 91.4
"Lafayette Parish, Louisiana",22055,76.7 ,67.3, 85.4
"Newberry County, South Carolina",45071,76.7 ,64.6, 87.8
"Nottoway County, Virginia",51135,76.7 ,65.0, 87.0
"Nuckolls County, Nebraska",31129,76.7 ,62.4, 89.1
"Oneida County, New York",36065,76.7 ,65.3, 87.4
"San Diego County, California",06073,76.7 ,70.8, 82.1
"Sonoma County, California",06097,76.7 ,67.1, 85.6
"Turner County, Georgia",13287,76.7 ,58.9, 91.6
"Wilkes County, Georgia",13317,76.7 ,58.8, 91.4
"Arlington County, Virginia",51013,76.6 ,66.3, 86.2
"Brule County, South Dakota",46015,76.6 ,58.6, 91.3
"Butler County, Kentucky",21031,76.6 ,61.0, 90.0
"Carver County, Minnesota",27019,76.6 ,65.5, 86.9
"Charlotte County, Virginia",51037,76.6 ,61.2, 89.9
"Charlottesville City, Virginia",51540,76.6 ,60.7, 90.3
"Clay County, Missouri",29047,76.6 ,64.7, 87.5
"Copiah County, Mississippi",28029,76.6 ,62.2, 89.1
"Franklin County, Maine",23007,76.6 ,65.4, 87.1
"Gratiot County, Michigan",26057,76.6 ,61.1, 89.9
"Hall County, Georgia",13139,76.6 ,69.0, 83.8
"Hoonah-Angoon Census Area, Alaska",02105,76.6 ,61.7, 89.7
"Iron County, Michigan",26071,76.6 ,58.8, 91.4
"Jefferson County, Mississippi",28063,76.6 ,61.3, 89.7
"Lafayette County, Missouri",29107,76.6 ,63.0, 88.5
"Lee County, Mississippi",28081,76.6 ,64.8, 87.7
"McPherson County, South Dakota",46089,76.6 ,58.6, 91.6
"Queens County, New York",36081,76.6 ,68.4, 84.4
"Somerset County, Maryland",24039,76.6 ,63.2, 88.5
"Tuscola County, Michigan",26157,76.6 ,62.0, 89.6
"Blue Earth County, Minnesota",27013,76.5 ,64.4, 87.6
"Cayuga County, New York",36011,76.5 ,66.3, 85.7
"Fayette County, Georgia",13113,76.5 ,64.3, 87.5
"Franklin Parish, Louisiana",22041,76.5 ,61.0, 89.9
"Fulton County, Arkansas",05049,76.5 ,62.8, 88.6
"Gallatin County, Montana",30031,76.5 ,64.3, 87.8
"Grand County, Utah",49019,76.5 ,62.5, 88.9
"Hamilton County, Ohio",39061,76.5 ,67.7, 84.9
"Oldham County, Kentucky",21185,76.5 ,61.1, 89.8
"Perry County, Tennessee",47135,76.5 ,58.3, 91.5
"Posey County, Indiana",18129,76.5 ,60.4, 90.2
"Salem City, Virginia",51775,76.5 ,61.4, 89.8
"Sherburne County, Minnesota",27141,76.5 ,65.4, 87.2
"Virginia Beach City, Virginia",51810,76.5 ,68.5, 84.1
"Warren County, Pennsylvania",42123,76.5 ,61.6, 89.6
"Asotin County, Washington",53003,76.4 ,63.6, 88.0
"Broadwater County, Montana",30007,76.4 ,58.4, 91.2
"Buckingham County, Virginia",51029,76.4 ,61.1, 89.6
"Callaway County, Missouri",29027,76.4 ,61.1, 89.7
"Collin County, Texas",48085,76.4 ,65.0, 86.6
"Custer County, Oklahoma",40039,76.4 ,62.5, 88.8
"DeKalb County, Illinois",17037,76.4 ,65.6, 86.1
"Dubois County, Indiana",18037,76.4 ,62.6, 88.6
"Grady County, Georgia",13131,76.4 ,60.6, 89.7
"Middlesex County, Massachusetts",25017,76.4 ,68.3, 84.2
"Moore County, Tennessee",47127,76.4 ,58.3, 91.4
"Pulaski County, Indiana",18131,76.4 ,58.4, 91.4
"Sharkey County, Mississippi",28125,76.4 ,58.4, 91.2
"Shelby County, Indiana",18145,76.4 ,62.4, 88.7
"Sumter County, Florida",12119,76.4 ,61.8, 89.2
"Wayne County, Michigan",26163,76.4 ,69.2, 83.4
"Baldwin County, Alabama",01003,76.3 ,65.0, 87.1
"Chambers County, Texas",48071,76.3 ,59.0, 91.0
"Cleburne County, Alabama",01029,76.3 ,58.1, 91.5
"Cumberland County, Kentucky",21057,76.3 ,60.6, 89.8
"Franklin County, Illinois",17055,76.3 ,60.4, 90.0
"Hillsborough County, New Hampshire",33011,76.3 ,66.0, 86.4
"Honolulu County, Hawaii",15003,76.3 ,72.3, 80.1
"Hubbard County, Minnesota",27057,76.3 ,63.7, 87.8
"Jim Hogg County, Texas",48247,76.3 ,58.4, 91.3
"Kent County, Delaware",10001,76.3 ,67.3, 85.0
"Kingman County, Kansas",20095,76.3 ,62.1, 88.9
"Rapides Parish, Louisiana",22079,76.3 ,63.8, 87.7
"Riley County, Kansas",20161,76.3 ,64.6, 87.3
"Shawano County, Wisconsin",55115,76.3 ,61.8, 89.1
"Summit County, Ohio",39153,76.3 ,65.2, 86.8
"Calvert County, Maryland",24009,76.2 ,64.6, 87.1
"Cedar County, Iowa",19031,76.2 ,62.6, 88.6
"Chesapeake City, Virginia",51550,76.2 ,65.6, 86.0
"Christian County, Kentucky",21047,76.2 ,63.7, 87.6
"Forest County, Wisconsin",55041,76.2 ,57.9, 91.3
"Holt County, Missouri",29087,76.2 ,61.1, 89.2
"Hyde County, North Carolina",37095,76.2 ,60.5, 89.8
"Lincoln County, Washington",53043,76.2 ,62.7, 88.4
"Logan County, Oklahoma",40083,76.2 ,62.0, 89.0
"Lunenburg County, Virginia",51111,76.2 ,61.4, 89.0
"Menard County, Illinois",17129,76.2 ,57.5, 91.6
"Petersburg City, Virginia",51730,76.2 ,60.5, 89.8
"Seminole County, Georgia",13253,76.2 ,61.5, 89.2
"Sumter County, Georgia",13261,76.2 ,60.6, 89.8
"Bristol County, Rhode Island",44001,76.1 ,63.2, 87.5
"Cape Girardeau County, Missouri",29031,76.1 ,60.9, 89.3
"Des Moines County, Iowa",19057,76.1 ,64.3, 87.2
"Gallatin County, Kentucky",21077,76.1 ,60.5, 89.4
"Ingham County, Michigan",26065,76.1 ,65.9, 85.7
"Jackson County, Ohio",39079,76.1 ,63.2, 87.9
"Judith Basin County, Montana",30045,76.1 ,60.3, 89.8
"Lane County, Kansas",20101,76.1 ,59.5, 90.1
"Laurel County, Kentucky",21125,76.1 ,63.3, 87.8
"Loup County, Nebraska",31115,76.1 ,57.8, 91.4
"Madison County, Virginia",51113,76.1 ,58.0, 91.2
"Marion County, Alabama",01093,76.1 ,62.4, 87.9
"Martinsville City, Virginia",51690,76.1 ,58.0, 91.1
"Mason County, Washington",53045,76.1 ,63.5, 87.6
"Meade County, Kansas",20119,76.1 ,60.9, 89.4
"Mitchell County, Iowa",19131,76.1 ,60.9, 89.3
"Montgomery County, Arkansas",05097,76.1 ,57.7, 91.1
"Ontario County, New York",36069,76.1 ,64.0, 87.4
"Perry County, Missouri",29157,76.1 ,60.9, 89.4
"Routt County, Colorado",08107,76.1 ,60.6, 89.8
"Ste. Genevieve County, Missouri",29186,76.1 ,60.2, 89.6
"Bell County, Texas",48027,76.0 ,64.2, 86.7
"Bucks County, Pennsylvania",42017,76.0 ,65.9, 85.4
"Door County, Wisconsin",55029,76.0 ,60.8, 89.3
"Dundy County, Nebraska",31057,76.0 ,58.1, 91.2
"Hood River County, Oregon",41027,76.0 ,57.7, 91.1
"Madison County, Iowa",19121,76.0 ,60.9, 88.9
"Mahaska County, Iowa",19123,76.0 ,62.7, 88.1
"McCracken County, Kentucky",21145,76.0 ,68.8, 82.7
"Meade County, Kentucky",21163,76.0 ,66.4, 84.7
"Ozaukee County, Wisconsin",55089,76.0 ,70.1, 81.6
"Pawnee County, Kansas",20145,76.0 ,61.6, 88.6
"Ralls County, Missouri",29173,76.0 ,60.4, 89.6
"Sumter County, South Carolina",45085,76.0 ,64.4, 86.9
"Terrebonne Parish, Louisiana",22109,76.0 ,63.8, 87.2
"Yellow Medicine County, Minnesota",27173,76.0 ,61.2, 89.0
"Abbeville County, South Carolina",45001,75.9 ,63.0, 87.7
"Baker County, Georgia",13007,75.9 ,57.0, 91.3
"Butts County, Georgia",13035,75.9 ,58.6, 90.4
"Callahan County, Texas",48059,75.9 ,56.9, 91.4
"Chisago County, Minnesota",27025,75.9 ,63.3, 87.2
"Cotton County, Oklahoma",40033,75.9 ,56.9, 91.5
"Crosby County, Texas",48107,75.9 ,57.0, 91.5
"Del Norte County, California",06015,75.9 ,57.5, 91.1
"Delaware County, Pennsylvania",42045,75.9 ,66.0, 84.9
"Grant County, Nebraska",31075,75.9 ,57.7, 91.2
"Gwinnett County, Georgia",13135,75.9 ,67.3, 84.2
"Hudspeth County, Texas",48229,75.9 ,57.3, 91.2
"Huerfano County, Colorado",08055,75.9 ,61.0, 89.0
"Johnson County, Kansas",20091,75.9 ,67.5, 84.0
"Marion County, Indiana",18097,75.9 ,69.0, 82.5
"Monroe County, Wisconsin",55081,75.9 ,61.4, 88.5
"Moore County, North Carolina",37125,75.9 ,60.9, 89.1
"Pamlico County, North Carolina",37137,75.9 ,56.9, 91.3
"Saluda County, South Carolina",45081,75.9 ,62.2, 88.1
"Swain County, North Carolina",37173,75.9 ,59.8, 89.8
"Taylor County, Iowa",19173,75.9 ,61.0, 89.1
"Boone County, Missouri",29019,75.8 ,66.4, 84.5
"Caroline County, Virginia",51033,75.8 ,61.8, 88.3
"Forsyth County, North Carolina",37067,75.8 ,72.0, 79.3
"Herkimer County, New York",36043,75.8 ,62.8, 87.6
"Houston County, Georgia",13153,75.8 ,63.0, 87.6
"Inyo County, California",06027,75.8 ,57.6, 91.1
"Kearney County, Nebraska",31099,75.8 ,61.0, 88.6
"Livingston Parish, Louisiana",22063,75.8 ,64.9, 86.0
"Merrick County, Nebraska",31121,75.8 ,62.6, 88.0
"Midland County, Michigan",26111,75.8 ,65.0, 85.5
"Phelps County, Nebraska",31137,75.8 ,63.8, 86.6
"Putnam County, Illinois",17155,75.8 ,57.8, 91.0
"Sitka Borough, Alaska",02220,75.8 ,59.9, 89.6
"Stark County, Illinois",17175,75.8 ,59.4, 89.9
"Trousdale County, Tennessee",47169,75.8 ,57.3, 91.2
"Antrim County, Michigan",26009,75.7 ,60.2, 89.0
"Iredell County, North Carolina",37097,75.7 ,69.8, 81.2
"Johnson County, Illinois",17087,75.7 ,57.3, 91.0
"Kennebec County, Maine",23011,75.7 ,65.2, 85.5
"Luzerne County, Pennsylvania",42079,75.7 ,66.9, 83.9
"Maui County, Hawaii",15009,75.7 ,64.5, 86.3
"Morris County, New Jersey",34027,75.7 ,64.4, 85.8
"Morrison County, Minnesota",27097,75.7 ,62.8, 87.3
"Oglala Lakota, South Dakota",46102,75.7 ,64.3, 86.6
"Santa Clara County, California",06085,75.7 ,69.3, 81.7
"Tipton County, Indiana",18159,75.7 ,59.7, 89.6
"Ulster County, New York",36111,75.7 ,64.3, 86.8
"Union Parish, Louisiana",22111,75.7 ,58.8, 90.0
"Wayne County, Illinois",17191,75.7 ,57.2, 91.1
"Windham County, Connecticut",09015,75.7 ,64.5, 86.5
"Alleghany County, North Carolina",37005,75.6 ,57.2, 90.9
"Brown County, South Dakota",46013,75.6 ,64.2, 86.4
"Charleston County, South Carolina",45019,75.6 ,65.6, 85.3
"Clearwater County, Minnesota",27029,75.6 ,61.4, 88.1
"Dallas County, Iowa",19049,75.6 ,64.3, 86.1
"Jasper County, Georgia",13159,75.6 ,68.0, 82.7
"Kanabec County, Minnesota",27065,75.6 ,61.7, 88.0
"Kidder County, North Dakota",38043,75.6 ,60.5, 89.0
"Laurens County, South Carolina",45059,75.6 ,62.9, 87.3
"Lawrence County, Mississippi",28077,75.6 ,62.4, 87.7
"Lee County, Kentucky",21129,75.6 ,60.2, 88.9
"Linn County, Iowa",19113,75.6 ,64.8, 86.3
"Madison County, New York",36053,75.6 ,62.7, 87.4
"Marshall County, West Virginia",54051,75.6 ,61.6, 88.3
"Middlesex County, New Jersey",34023,75.6 ,64.1, 86.2
"Montmorency County, Michigan",26119,75.6 ,59.4, 89.6
"Polk County, Oregon",41053,75.6 ,62.1, 87.8
"Rockingham County, New Hampshire",33015,75.6 ,66.8, 84.0
"Stafford County, Virginia",51179,75.6 ,63.0, 87.1
"Valley County, Nebraska",31175,75.6 ,62.0, 88.0
"Boulder County, Colorado",08013,75.5 ,64.1, 86.3
"Butler County, Missouri",29023,75.5 ,60.8, 88.4
"Caldwell County, Kentucky",21033,75.5 ,60.3, 88.6
"Camden County, North Carolina",37029,75.5 ,57.0, 90.8
"Clark County, Wisconsin",55019,75.5 ,60.4, 88.8
"Clatsop County, Oregon",41007,75.5 ,61.1, 88.1
"Denver County, Colorado",08031,75.5 ,67.1, 83.6
"Edmunds County, South Dakota",46045,75.5 ,57.0, 91.0
"Floyd County, Virginia",51063,75.5 ,59.7, 89.0
"Hampshire County, West Virginia",54027,75.5 ,60.1, 88.9
"Jackson County, South Dakota",46071,75.5 ,62.5, 87.4
"Lexington County, South Carolina",45063,75.5 ,66.6, 83.9
"Lorain County, Ohio",39093,75.5 ,64.3, 85.7
"Merced County, California",06047,75.5 ,65.2, 84.9
"Mitchell County, North Carolina",37121,75.5 ,57.3, 91.0
"Raleigh County, West Virginia",54081,75.5 ,63.5, 86.8
"Shiawassee County, Michigan",26155,75.5 ,62.2, 87.7
"Adair County, Missouri",29001,75.4 ,60.6, 88.3
"Alexandria City, Virginia",51510,75.4 ,62.8, 86.8
"Black Hawk County, Iowa",19013,75.4 ,63.8, 86.4
"Burke County, Georgia",13033,75.4 ,59.3, 89.4
"Carbon County, Pennsylvania",42025,75.4 ,58.8, 89.5
"Centre County, Pennsylvania",42027,75.4 ,61.3, 88.1
"Clark County, Kentucky",21049,75.4 ,59.7, 89.2
"Clark County, Washington",53011,75.4 ,64.3, 86.0
"Crockett County, Tennessee",47033,75.4 ,59.7, 88.9
"Dougherty County, Georgia",13095,75.4 ,61.6, 87.9
"Genesee County, Michigan",26049,75.4 ,64.5, 85.9
"Gordon County, Georgia",13129,75.4 ,61.0, 88.1
"Hays County, Texas",48209,75.4 ,64.2, 85.8
"Howard County, Indiana",18067,75.4 ,61.3, 88.2
"Limestone County, Alabama",01083,75.4 ,60.5, 88.6
"Mathews County, Virginia",51115,75.4 ,60.6, 88.5
"Neshoba County, Mississippi",28099,75.4 ,61.5, 87.8
"Redwood County, Minnesota",27127,75.4 ,60.9, 88.1
"Saginaw County, Michigan",26145,75.4 ,62.9, 87.0
"Washington Parish, Louisiana",22117,75.4 ,65.9, 84.2
"Winnebago County, Wisconsin",55139,75.4 ,62.2, 87.6
"Baltimore City, Maryland",24510,75.3 ,65.5, 84.4
"Calhoun County, Georgia",13037,75.3 ,57.2, 90.6
"Dodge County, Wisconsin",55027,75.3 ,61.9, 87.6
"Dolores County, Colorado",08033,75.3 ,56.6, 91.0
"Gooding County, Idaho",16047,75.3 ,59.1, 89.5
"Greene County, Virginia",51079,75.3 ,59.4, 89.1
"Keya Paha County, Nebraska",31103,75.3 ,58.4, 89.8
"Lawrence County, Ohio",39087,75.3 ,62.6, 87.1
"Lyon County, Iowa",19119,75.3 ,58.8, 89.3
"Mercer County, Missouri",29129,75.3 ,56.5, 90.8
"Red Willow County, Nebraska",31145,75.3 ,62.2, 87.3
"Richardson County, Nebraska",31147,75.3 ,62.6, 87.1
"Roanoke County, Virginia",51161,75.3 ,62.6, 87.2
"San Miguel County, Colorado",08113,75.3 ,56.7, 90.9
"Scott County, Arkansas",05127,75.3 ,59.4, 89.0
"Shelby County, Missouri",29205,75.3 ,56.9, 90.7
"St. Clair County, Missouri",29185,75.3 ,56.8, 90.7
"Stoddard County, Missouri",29207,75.3 ,59.7, 88.9
"Sussex County, Delaware",10005,75.3 ,65.7, 84.5
"Winona County, Minnesota",27169,75.3 ,66.4, 83.5
"Worth County, Missouri",29227,75.3 ,56.9, 90.7
"Caddo Parish, Louisiana",22017,75.2 ,65.6, 84.3
"Candler County, Georgia",13043,75.2 ,56.7, 91.0
"East Carroll Parish, Louisiana",22035,75.2 ,56.6, 90.7
"Hill County, Texas",48217,75.2 ,60.1, 88.5
"Jackson County, North Carolina",37099,75.2 ,59.7, 88.8
"Johnson County, Indiana",18081,75.2 ,65.9, 83.8
"Lubbock County, Texas",48303,75.2 ,63.4, 85.7
"Marengo County, Alabama",01091,75.2 ,59.2, 89.3
"Monroe County, Iowa",19135,75.2 ,56.4, 90.9
"Pike County, Arkansas",05109,75.2 ,60.2, 88.5
"Portage County, Wisconsin",55097,75.2 ,65.5, 84.1
"Roane County, West Virginia",54087,75.2 ,60.3, 88.2
"Schoolcraft County, Michigan",26153,75.2 ,56.5, 90.8
"Sedgwick County, Colorado",08115,75.2 ,56.4, 90.8
"St. Mary Parish, Louisiana",22101,75.2 ,61.9, 87.3
"Stewart County, Georgia",13259,75.2 ,56.8, 90.6
"Warren County, Georgia",13301,75.2 ,56.7, 90.6
"Wirt County, West Virginia",54105,75.2 ,58.8, 89.4
"Wise County, Texas",48497,75.2 ,60.7, 88.2
"Baca County, Colorado",08009,75.1 ,56.6, 90.5
"Baraga County, Michigan",26013,75.1 ,56.6, 90.6
"Billings County, North Dakota",38007,75.1 ,56.4, 90.6
"Cavalier County, North Dakota",38019,75.1 ,59.7, 88.4
"Champaign County, Ohio",39021,75.1 ,58.8, 89.2
"Dickinson County, Michigan",26043,75.1 ,56.8, 90.5
"Elk County, Kansas",20049,75.1 ,56.4, 90.6
"Essex County, Virginia",51057,75.1 ,59.1, 89.1
"Green County, Kentucky",21087,75.1 ,59.2, 88.9
"Logan County, North Dakota",38047,75.1 ,56.5, 90.8
"Lyon County, Kentucky",21143,75.1 ,59.9, 88.6
"McMinn County, Tennessee",47107,75.1 ,61.9, 87.3
"Montgomery County, Kentucky",21173,75.1 ,61.0, 87.8
"Morrow County, Oregon",41049,75.1 ,59.3, 88.8
"Orange County, Florida",12095,75.1 ,66.6, 83.2
"Oscoda County, Michigan",26135,75.1 ,56.4, 90.5
"Pettis County, Missouri",29159,75.1 ,60.0, 88.2
"Pittsylvania County, Virginia",51143,75.1 ,61.4, 87.2
"Sheridan County, Kansas",20179,75.1 ,56.6, 90.7
"Smith County, Kansas",20183,75.1 ,56.2, 90.8
"Tooele County, Utah",49045,75.1 ,63.2, 86.4
"Tucker County, West Virginia",54093,75.1 ,59.5, 88.9
"Waldo County, Maine",23027,75.1 ,64.3, 85.1
"Barbour County, West Virginia",54001,75.0 ,59.1, 88.9
"Blaine County, Idaho",16013,75.0 ,59.7, 88.5
"Bulloch County, Georgia",13031,75.0 ,60.2, 88.4
"Cooke County, Texas",48097,75.0 ,56.1, 90.5
"Coosa County, Alabama",01037,75.0 ,56.4, 90.6
"El Paso County, Texas",48141,75.0 ,64.6, 84.9
"Gasconade County, Missouri",29073,75.0 ,59.2, 88.7
"Geneva County, Alabama",01061,75.0 ,60.6, 87.9
"Hidalgo County, Texas",48215,75.0 ,64.6, 84.9
"Jefferson County, Alabama",01073,75.0 ,67.8, 82.1
"Lebanon County, Pennsylvania",42075,75.0 ,59.9, 88.3
"Live Oak County, Texas",48297,75.0 ,56.4, 90.7
"Montgomery County, Pennsylvania",42091,75.0 ,64.8, 84.6
"Ohio County, West Virginia",54069,75.0 ,61.3, 87.5
"Owen County, Indiana",18119,75.0 ,59.6, 88.3
"Page County, Virginia",51139,75.0 ,59.2, 88.8
"Pike County, Missouri",29163,75.0 ,58.5, 89.2
"Spartanburg County, South Carolina",45083,75.0 ,65.3, 84.2
"Washakie County, Wyoming",56043,75.0 ,60.1, 88.2
"Zavala County, Texas",48507,75.0 ,56.5, 90.8
"Bradford County, Florida",12007,74.9 ,60.5, 87.9
