
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

Had Colonoscopy in Past 10 Years
"All Races (includes Hispanic), Both Sexes, Ages 50-75"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Coles County, Illinois",17029,67.4 ,53.1, 80.8
"Franklin County, Maine",23007,67.4 ,57.2, 77.5
"Henry County, Indiana",18065,67.4 ,58.7, 75.8
"Linn County, Iowa",19113,67.4 ,57.2, 77.7
"Lycoming County, Pennsylvania",42081,67.4 ,55.7, 78.7
"Lyon County, Iowa",19119,67.4 ,53.8, 80.3
"Nassau County, Florida",12089,67.4 ,56.5, 77.8
"New Hanover County, North Carolina",37129,67.4 ,57.4, 77.1
"Oakland County, Michigan",26125,67.4 ,60.4, 74.3
"Scott County, Iowa",19163,67.4 ,58.3, 76.4
"Volusia County, Florida",12127,67.4 ,58.8, 76.1
"Westmoreland County, Pennsylvania",42129,67.4 ,57.5, 77.0
"Wichita County, Kansas",20203,67.4 ,54.0, 80.0
"Anderson County, South Carolina",45007,67.3 ,57.3, 77.3
"Bedford County, Tennessee",47003,67.3 ,54.0, 79.8
"Fluvanna County, Virginia",51065,67.3 ,53.7, 80.2
"Grant County, Wisconsin",55043,67.3 ,52.9, 80.6
"Hampton City, Virginia",51650,67.3 ,56.0, 78.2
"Jackson County, Iowa",19097,67.3 ,54.9, 79.3
"Mahaska County, Iowa",19123,67.3 ,54.9, 79.1
"Middlesex County, Massachusetts",25017,67.3 ,60.1, 74.6
"Shiawassee County, Michigan",26155,67.3 ,55.3, 78.9
"Williamsburg City, Virginia",51830,67.3 ,52.6, 80.8
"Wood County, Wisconsin",55141,67.3 ,56.2, 78.3
"Athens County, Ohio",39009,67.2 ,56.4, 78.0
"Cache County, Utah",49005,67.2 ,56.6, 77.7
"Caledonia County, Vermont",50005,67.2 ,56.5, 77.6
"Columbiana County, Ohio",39029,67.2 ,58.0, 76.1
"Dodge County, Minnesota",27039,67.2 ,54.7, 79.1
"Jasper County, Texas",48241,67.2 ,53.3, 80.0
"Jefferson County, New York",36045,67.2 ,58.0, 76.4
"Kauai County, Hawaii",15007,67.2 ,57.7, 76.8
"Pope County, Illinois",17151,67.2 ,52.8, 80.7
"Saline County, Nebraska",31151,67.2 ,56.5, 78.1
"Ada County, Idaho",16001,67.1 ,57.5, 76.6
"Colonial Heights City, Virginia",51570,67.1 ,53.2, 80.3
"Comanche County, Kansas",20033,67.1 ,53.1, 80.0
"Dale County, Alabama",01045,67.1 ,56.6, 77.3
"Deer Lodge County, Montana",30023,67.1 ,54.2, 79.3
"Gloucester County, New Jersey",34015,67.1 ,55.3, 78.4
"Ionia County, Michigan",26067,67.1 ,54.5, 79.0
"Kitsap County, Washington",53035,67.1 ,56.5, 77.5
"Madison County, Alabama",01089,67.1 ,56.1, 78.0
"Park County, Colorado",08093,67.1 ,53.7, 79.7
"Phelps County, Missouri",29161,67.1 ,54.1, 79.4
"St. Clair County, Michigan",26147,67.1 ,57.2, 76.7
"Union County, Pennsylvania",42119,67.1 ,53.5, 79.9
"Bullitt County, Kentucky",21029,67.0 ,53.5, 79.3
"Cass County, Minnesota",27021,67.0 ,55.5, 78.4
"Daggett County, Utah",49009,67.0 ,52.3, 80.7
"Fremont County, Iowa",19071,67.0 ,53.5, 79.9
"Kent County, Maryland",24029,67.0 ,56.4, 77.6
"Larimer County, Colorado",08069,67.0 ,59.0, 74.6
"Lewis and Clark County, Montana",30049,67.0 ,55.8, 78.0
"Montgomery County, Alabama",01101,67.0 ,56.9, 76.8
"Morrison County, Minnesota",27097,67.0 ,55.5, 78.3
"Plymouth County, Massachusetts",25023,67.0 ,57.5, 76.4
"Putnam County, Missouri",29171,67.0 ,52.4, 80.6
"Renville County, Minnesota",27129,67.0 ,55.3, 78.4
"Somerset County, New Jersey",34035,67.0 ,56.2, 77.6
"Washington County, Indiana",18175,67.0 ,53.8, 79.6
"Windham County, Connecticut",09015,67.0 ,56.7, 77.2
"Charlottesville City, Virginia",51540,66.9 ,52.4, 80.2
"Columbia County, New York",36021,66.9 ,56.1, 77.6
"Fauquier County, Virginia",51061,66.9 ,54.5, 78.8
"Grundy County, Illinois",17063,66.9 ,54.9, 78.4
"Lincoln Parish, Louisiana",22061,66.9 ,53.6, 79.3
"McCook County, South Dakota",46087,66.9 ,51.6, 81.1
"Oconee County, Georgia",13219,66.9 ,53.4, 79.6
"Penobscot County, Maine",23019,66.9 ,56.8, 77.0
"Rowan County, North Carolina",37159,66.9 ,54.4, 78.8
"Skagway Municipality, Alaska",02230,66.9 ,52.2, 80.5
"Stafford County, Virginia",51179,66.9 ,55.6, 77.9
"Trigg County, Kentucky",21221,66.9 ,53.2, 79.9
"Union County, Florida",12125,66.9 ,54.2, 78.9
"Vanderburgh County, Indiana",18163,66.9 ,55.7, 77.9
"Wasatch County, Utah",49051,66.9 ,55.6, 78.0
"Webster County, Missouri",29225,66.9 ,52.8, 80.0
"Camden County, Georgia",13039,66.8 ,53.4, 79.5
"Christian County, Kentucky",21047,66.8 ,55.0, 78.2
"De Soto Parish, Louisiana",22031,66.8 ,54.3, 78.7
"Klickitat County, Washington",53039,66.8 ,56.9, 76.5
"Marion County, Florida",12083,66.8 ,57.5, 76.1
"Nelson County, North Dakota",38063,66.8 ,53.6, 79.2
"San Mateo County, California",06081,66.8 ,56.8, 76.5
"Washington County, Maine",23029,66.8 ,57.4, 76.3
"Wayne County, Ohio",39169,66.8 ,54.8, 78.5
"Wicomico County, Maryland",24045,66.8 ,56.7, 77.1
"Beaufort County, South Carolina",45013,66.7 ,56.8, 77.1
"Blount County, Tennessee",47009,66.7 ,54.2, 78.6
"Boone County, Kentucky",21015,66.7 ,55.9, 77.2
"Brown County, South Dakota",46013,66.7 ,56.3, 77.1
"Carbon County, Montana",30009,66.7 ,53.6, 79.1
"Carson County, Texas",48065,66.7 ,50.6, 81.2
"Churchill County, Nevada",32001,66.7 ,54.7, 78.5
"Delaware County, Iowa",19055,66.7 ,54.4, 78.7
"Guilford County, North Carolina",37081,66.7 ,57.4, 75.9
"Hancock County, Indiana",18059,66.7 ,54.4, 78.5
"Hanover County, Virginia",51085,66.7 ,56.3, 76.7
"Lane County, Kansas",20101,66.7 ,52.7, 79.8
"Lebanon County, Pennsylvania",42075,66.7 ,53.5, 79.0
"Lincoln County, Maine",23015,66.7 ,56.4, 77.3
"Madison County, Kentucky",21151,66.7 ,54.0, 78.8
"McPherson County, Nebraska",31117,66.7 ,51.1, 81.0
"Placer County, California",06061,66.7 ,56.3, 76.7
"Stephenson County, Illinois",17177,66.7 ,52.9, 79.6
"Talbot County, Maryland",24041,66.7 ,56.7, 77.0
"Union County, Georgia",13291,66.7 ,52.2, 80.2
"Washtenaw County, Michigan",26161,66.7 ,57.0, 76.4
"Albany County, New York",36001,66.6 ,56.9, 76.2
"Allegany County, Maryland",24001,66.6 ,56.3, 77.0
"Beadle County, South Dakota",46005,66.6 ,53.1, 79.1
"Burlington County, New Jersey",34005,66.6 ,56.3, 76.7
"Carlisle County, Kentucky",21039,66.6 ,52.3, 80.0
"Carter County, Montana",30011,66.6 ,51.7, 80.3
"Chisago County, Minnesota",27025,66.6 ,55.2, 77.7
"Clarke County, Georgia",13059,66.6 ,54.1, 78.6
"Columbia County, Georgia",13073,66.6 ,55.0, 78.1
"Crow Wing County, Minnesota",27035,66.6 ,55.6, 77.6
"Faulk County, South Dakota",46049,66.6 ,52.3, 79.8
"Genesee County, Michigan",26049,66.6 ,56.3, 76.9
"Granite County, Montana",30039,66.6 ,52.0, 80.1
"Henry County, Ohio",39069,66.6 ,53.4, 79.1
"Luce County, Michigan",26095,66.6 ,53.6, 78.9
"Mercer County, Pennsylvania",42085,66.6 ,54.4, 78.3
"Muskegon County, Michigan",26121,66.6 ,59.0, 74.0
"New Haven County, Connecticut",09009,66.6 ,58.6, 74.9
"Polk County, Iowa",19153,66.6 ,57.3, 76.1
"Pope County, Minnesota",27121,66.6 ,53.1, 79.3
"Prince Edward County, Virginia",51147,66.6 ,53.5, 79.0
"Shelby County, Iowa",19165,66.6 ,53.9, 78.7
"Steuben County, New York",36101,66.6 ,56.3, 77.1
"Ashe County, North Carolina",37009,66.5 ,53.1, 79.1
"Campbell County, Virginia",51031,66.5 ,55.0, 77.6
"Coffee County, Alabama",01031,66.5 ,55.9, 76.9
"Dodge County, Nebraska",31053,66.5 ,56.0, 77.2
"El Paso County, Colorado",08041,66.5 ,58.1, 74.8
"Estill County, Kentucky",21065,66.5 ,52.1, 79.8
"Fairfield County, Connecticut",09001,66.5 ,58.3, 74.8
"Hamilton County, Ohio",39061,66.5 ,56.8, 76.1
"Hooker County, Nebraska",31091,66.5 ,51.3, 80.7
"Hunt County, Texas",48231,66.5 ,57.0, 75.3
"Jackson County, Michigan",26075,66.5 ,56.0, 77.0
"King William County, Virginia",51101,66.5 ,52.2, 79.8
"Madison County, Ohio",39097,66.5 ,52.3, 79.9
"Oneida County, Idaho",16071,66.5 ,52.6, 79.5
"Queen Annes County, Maryland",24035,66.5 ,55.9, 77.2
"Richardson County, Nebraska",31147,66.5 ,55.0, 77.8
"Rockingham County, New Hampshire",33015,66.5 ,61.4, 71.4
"Stone County, Mississippi",28131,66.5 ,52.7, 79.6
"Summit County, Utah",49043,66.5 ,55.2, 77.7
"Windsor County, Vermont",50027,66.5 ,56.1, 77.0
"Hot Springs County, Wyoming",56017,66.4 ,53.1, 79.0
"Houston County, Minnesota",27055,66.4 ,53.8, 78.5
"McLean County, Illinois",17113,66.4 ,53.1, 78.8
"Nevada County, California",06057,66.4 ,53.6, 78.7
"Polk County, Nebraska",31143,66.4 ,54.0, 78.1
"Richmond City, Virginia",51760,66.4 ,54.3, 78.1
"Smith County, Texas",48423,66.4 ,56.1, 76.0
"Suffolk City, Virginia",51800,66.4 ,54.3, 78.0
"Sumner County, Kansas",20191,66.4 ,54.2, 78.2
"Tooele County, Utah",49045,66.4 ,55.5, 77.2
"Trinity County, California",06105,66.4 ,50.6, 81.0
"Wabaunsee County, Kansas",20197,66.4 ,52.9, 79.1
"Warren County, Missouri",29219,66.4 ,53.3, 78.8
"Washington County, Pennsylvania",42125,66.4 ,57.3, 75.2
"Amherst County, Virginia",51009,66.3 ,53.6, 78.3
"Dubuque County, Iowa",19061,66.3 ,56.4, 75.8
"Ellis County, Oklahoma",40045,66.3 ,52.2, 79.6
"Grayson County, Virginia",51077,66.3 ,53.8, 78.3
"Jewell County, Kansas",20089,66.3 ,52.3, 79.6
"Mason County, Michigan",26105,66.3 ,52.9, 79.0
"Monona County, Iowa",19133,66.3 ,52.9, 79.0
"Moore County, North Carolina",37125,66.3 ,53.1, 79.0
"Sargent County, North Dakota",38081,66.3 ,53.2, 78.8
"Allegan County, Michigan",26005,66.2 ,54.2, 77.9
"Carson City, Nevada",32510,66.2 ,58.1, 74.1
"Cedar County, Iowa",19031,66.2 ,53.1, 78.7
"Chaffee County, Colorado",08015,66.2 ,53.0, 78.9
"Clark County, South Dakota",46025,66.2 ,52.3, 79.5
"Covington County, Alabama",01039,66.2 ,53.5, 78.5
"Erie County, New York",36029,66.2 ,58.7, 73.3
"Fallon County, Montana",30025,66.2 ,51.4, 79.8
"Grafton County, New Hampshire",33009,66.2 ,55.4, 77.1
"Judith Basin County, Montana",30045,66.2 ,51.6, 79.7
"Madison County, Illinois",17119,66.2 ,54.7, 77.3
"Marion County, Iowa",19125,66.2 ,54.2, 77.8
"Meade County, Kentucky",21163,66.2 ,54.9, 76.9
"Osage County, Kansas",20139,66.2 ,54.3, 77.8
"Otsego County, Michigan",26137,66.2 ,52.6, 79.1
"Salem City, Virginia",51775,66.2 ,52.2, 79.4
"Sarasota County, Florida",12115,66.2 ,56.1, 76.3
"Sheridan County, Wyoming",56033,66.2 ,55.1, 77.1
"Camden County, Missouri",29029,66.1 ,53.0, 78.7
"Columbus County, North Carolina",37047,66.1 ,55.9, 75.8
"Elbert County, Georgia",13105,66.1 ,54.4, 77.1
"Hancock County, Kentucky",21091,66.1 ,52.3, 79.1
"Harnett County, North Carolina",37085,66.1 ,52.6, 78.8
"Henderson County, Kentucky",21101,66.1 ,54.1, 77.9
"Jasper County, Georgia",13159,66.1 ,51.7, 79.6
"Kemper County, Mississippi",28069,66.1 ,51.8, 79.3
"Lawrence County, Kentucky",21127,66.1 ,52.8, 78.8
"McHenry County, North Dakota",38049,66.1 ,53.6, 78.2
"Pennington County, South Dakota",46103,66.1 ,55.7, 76.6
"Pipestone County, Minnesota",27117,66.1 ,52.3, 79.2
"Ringgold County, Iowa",19159,66.1 ,52.3, 79.1
"Washburn County, Wisconsin",55129,66.1 ,51.7, 79.7
"Waupaca County, Wisconsin",55135,66.1 ,55.9, 75.7
"Adams County, North Dakota",38001,66.0 ,51.3, 79.7
"Aiken County, South Carolina",45003,66.0 ,55.9, 76.2
"Butler County, Iowa",19023,66.0 ,53.6, 77.9
"Cascade County, Montana",30013,66.0 ,55.6, 76.5
"Cass County, Nebraska",31025,66.0 ,54.1, 77.5
"Coos County, Oregon",41011,66.0 ,53.4, 78.0
"Dawson County, Montana",30021,66.0 ,53.5, 77.9
"Edmunds County, South Dakota",46045,66.0 ,52.2, 79.2
"Flathead County, Montana",30029,66.0 ,55.1, 76.7
"Huron County, Ohio",39077,66.0 ,53.9, 77.7
"Jackson County, Kansas",20085,66.0 ,52.8, 78.3
"Kiowa County, Colorado",08061,66.0 ,50.9, 80.2
"Lee County, South Carolina",45061,66.0 ,54.1, 77.7
"Mariposa County, California",06043,66.0 ,50.3, 80.8
"Menominee County, Michigan",26109,66.0 ,51.4, 79.4
"Pulaski County, Missouri",29169,66.0 ,52.1, 79.3
"Bristol Bay Borough, Alaska",02060,65.9 ,51.1, 79.8
"Calumet County, Wisconsin",55015,65.9 ,52.1, 78.9
"Cortland County, New York",36023,65.9 ,54.9, 76.8
"Darlington County, South Carolina",45031,65.9 ,55.6, 76.0
"Dunn County, Wisconsin",55033,65.9 ,55.3, 76.3
"Fayette County, Iowa",19065,65.9 ,53.5, 77.8
"Ford County, Illinois",17053,65.9 ,50.9, 79.9
"Greene County, Iowa",19073,65.9 ,52.0, 78.9
"Jackson County, Missouri",29095,65.9 ,56.8, 75.2
"Jefferson County, Florida",12065,65.9 ,54.0, 77.6
"Lehigh County, Pennsylvania",42077,65.9 ,55.1, 76.5
"Lincoln County, Montana",30053,65.9 ,54.2, 77.4
"McCone County, Montana",30055,65.9 ,52.2, 78.7
"Mecklenburg County, North Carolina",37119,65.9 ,57.2, 74.5
"Muhlenberg County, Kentucky",21177,65.9 ,53.7, 77.7
"Ouray County, Colorado",08091,65.9 ,51.1, 79.9
"Sabine Parish, Louisiana",22085,65.9 ,52.6, 78.6
"Sanilac County, Michigan",26151,65.9 ,52.5, 78.5
"Tippecanoe County, Indiana",18157,65.9 ,54.2, 77.3
"Vernon County, Wisconsin",55123,65.9 ,52.1, 78.9
"Walker County, Texas",48471,65.9 ,51.9, 79.1
"Watauga County, North Carolina",37189,65.9 ,51.7, 79.2
"Wexford County, Michigan",26165,65.9 ,53.3, 78.0
"York County, Nebraska",31185,65.9 ,55.0, 76.9
"Anoka County, Minnesota",27003,65.8 ,56.2, 75.6
"Bland County, Virginia",51021,65.8 ,51.5, 79.3
"Carteret County, North Carolina",37031,65.8 ,54.4, 77.0
"Chelan County, Washington",53007,65.8 ,54.7, 76.9
"Douglas County, South Dakota",46043,65.8 ,50.1, 80.2
"Franklin County, Texas",48159,65.8 ,49.9, 80.5
"Greenbrier County, West Virginia",54025,65.8 ,54.2, 77.4
"Henderson County, Illinois",17071,65.8 ,51.0, 79.7
"Lincoln County, Wisconsin",55069,65.8 ,53.3, 78.0
"Madison County, Indiana",18095,65.8 ,55.9, 75.5
"Marathon County, Wisconsin",55073,65.8 ,54.1, 77.2
"Martin County, Kentucky",21159,65.8 ,52.4, 78.5
"Moniteau County, Missouri",29135,65.8 ,50.4, 80.2
"Petersburg City, Virginia",51730,65.8 ,52.2, 78.6
"Pickaway County, Ohio",39129,65.8 ,52.2, 78.6
"Pike County, Pennsylvania",42103,65.8 ,51.6, 79.1
"Sawyer County, Wisconsin",55113,65.8 ,52.6, 78.2
"St. Louis County, Minnesota",27137,65.8 ,55.3, 76.2
"Union County, Ohio",39159,65.8 ,52.9, 78.3
"Washington County, New York",36115,65.8 ,55.1, 76.3
"Wayne County, New York",36117,65.8 ,56.0, 75.6
"Allamakee County, Iowa",19005,65.7 ,52.9, 78.1
"Arenac County, Michigan",26011,65.7 ,51.1, 79.3
"Aroostook County, Maine",23003,65.7 ,55.7, 76.0
"Canyon County, Idaho",16027,65.7 ,57.6, 73.6
"Chemung County, New York",36015,65.7 ,55.3, 76.3
"DuPage County, Illinois",17043,65.7 ,58.7, 72.6
"Eau Claire County, Wisconsin",55035,65.7 ,53.2, 77.8
"Graves County, Kentucky",21083,65.7 ,53.1, 77.9
"Hanson County, South Dakota",46061,65.7 ,50.8, 79.5
"Knott County, Kentucky",21119,65.7 ,54.0, 77.2
"Laurel County, Kentucky",21125,65.7 ,53.3, 77.6
"Lenoir County, North Carolina",37107,65.7 ,53.0, 78.0
"Mitchell County, Iowa",19131,65.7 ,52.2, 78.5
"Nelson County, Virginia",51125,65.7 ,52.2, 78.5
"Seward County, Nebraska",31159,65.7 ,54.5, 76.9
"Shelby County, Ohio",39149,65.7 ,52.5, 78.0
"Anchorage Borough, Alaska",02020,65.6 ,64.9, 66.3
"Camden County, North Carolina",37029,65.6 ,51.1, 79.2
"Chariton County, Missouri",29041,65.6 ,51.9, 78.4
"Clay County, Kentucky",21051,65.6 ,54.2, 76.5
"Dinwiddie County, Virginia",51053,65.6 ,52.6, 78.0
"Elmore County, Alabama",01051,65.6 ,54.3, 76.7
"Gates County, North Carolina",37073,65.6 ,50.8, 79.4
"Guadalupe County, Texas",48187,65.6 ,52.8, 77.9
"Gunnison County, Colorado",08051,65.6 ,51.2, 79.1
"Jefferson County, Nebraska",31095,65.6 ,53.7, 77.2
"Lincoln County, Kansas",20105,65.6 ,51.1, 79.2
"Loup County, Nebraska",31115,65.6 ,50.8, 79.5
"Marquette County, Wisconsin",55077,65.6 ,50.9, 79.6
"Rockdale County, Georgia",13247,65.6 ,52.1, 78.2
"Sarpy County, Nebraska",31153,65.6 ,56.7, 74.3
"Stewart County, Tennessee",47161,65.6 ,52.6, 77.9
"Union County, South Dakota",46127,65.6 ,52.2, 78.4
"Wagoner County, Oklahoma",40145,65.6 ,53.7, 77.1
"Allen County, Kentucky",21003,65.5 ,51.3, 78.8
"Benton County, Washington",53005,65.5 ,56.1, 74.8
"Bergen County, New Jersey",34003,65.5 ,54.8, 75.7
"Camas County, Idaho",16025,65.5 ,50.3, 79.8
"DeKalb County, Georgia",13089,65.5 ,56.9, 74.0
"Duval County, Florida",12031,65.5 ,55.0, 75.8
"Fond du Lac County, Wisconsin",55039,65.5 ,53.4, 77.4
"Franklin County, Massachusetts",25011,65.5 ,52.9, 77.6
"Fulton County, Illinois",17057,65.5 ,50.6, 79.4
"Keokuk County, Iowa",19107,65.5 ,52.2, 77.9
"Laclede County, Missouri",29105,65.5 ,52.0, 78.5
"Lake of the Woods County, Minnesota",27077,65.5 ,51.1, 78.9
"Lancaster County, Nebraska",31109,65.5 ,55.5, 75.7
"Marion County, Indiana",18097,65.5 ,58.4, 72.6
"McLeod County, Minnesota",27085,65.5 ,54.1, 76.9
"Noble County, Ohio",39121,65.5 ,52.7, 77.9
"Red Lake County, Minnesota",27125,65.5 ,53.2, 77.0
"Rice County, Kansas",20159,65.5 ,52.3, 78.1
"Sullivan County, Pennsylvania",42113,65.5 ,50.5, 79.3
"Teller County, Colorado",08119,65.5 ,53.7, 77.0
"Washington County, Oregon",41067,65.5 ,56.3, 74.7
"Yankton County, South Dakota",46135,65.5 ,52.4, 78.2
"Addison County, Vermont",50001,65.4 ,55.0, 76.0
"Aleutians East Borough, Alaska",02013,65.4 ,50.9, 79.1
"Chesterfield County, Virginia",51041,65.4 ,55.0, 75.6
"Cheyenne County, Nebraska",31033,65.4 ,52.9, 77.6
"Clearwater County, Idaho",16035,65.4 ,52.4, 77.8
"Fayette County, Kentucky",21067,65.4 ,53.9, 76.8
"Greene County, Alabama",01063,65.4 ,51.8, 78.2
"Jefferson County, Indiana",18077,65.4 ,52.0, 78.1
"Kittson County, Minnesota",27069,65.4 ,50.9, 78.9
"Kossuth County, Iowa",19109,65.4 ,52.7, 77.6
"Le Sueur County, Minnesota",27079,65.4 ,53.0, 77.4
"McPherson County, Kansas",20113,65.4 ,53.4, 77.1
"Somerset County, Maine",23025,65.4 ,55.0, 76.0
"St. Charles Parish, Louisiana",22089,65.4 ,52.1, 78.0
"Brooke County, West Virginia",54009,65.3 ,52.1, 77.8
"Butler County, Kansas",20015,65.3 ,54.4, 76.1
"Carter County, Kentucky",21043,65.3 ,52.9, 77.2
"Champaign County, Illinois",17019,65.3 ,55.0, 75.2
"Clay County, Nebraska",31035,65.3 ,52.8, 77.3
"Deschutes County, Oregon",41017,65.3 ,55.1, 75.3
"Eddy County, North Dakota",38027,65.3 ,51.6, 78.3
"Hancock County, Maine",23009,65.3 ,54.8, 75.9
"Lafayette Parish, Louisiana",22055,65.3 ,55.9, 74.5
"Marion County, Kentucky",21155,65.3 ,51.2, 78.5
"Marion County, Tennessee",47115,65.3 ,51.2, 78.7
"Marshall County, Kansas",20117,65.3 ,52.3, 78.0
"Ness County, Kansas",20135,65.3 ,51.2, 78.5
"Petroleum County, Montana",30069,65.3 ,49.2, 80.1
"Pitkin County, Colorado",08097,65.3 ,50.7, 78.9
"Somerset County, Maryland",24039,65.3 ,54.4, 76.1
"Union County, Iowa",19175,65.3 ,52.0, 77.9
"Ventura County, California",06111,65.3 ,59.7, 70.9
"Wahkiakum County, Washington",53069,65.3 ,52.2, 77.8
"Warren County, Iowa",19181,65.3 ,53.3, 76.8
"Adams County, Nebraska",31001,65.2 ,54.6, 75.9
"Barry County, Missouri",29009,65.2 ,52.1, 77.6
"Belmont County, Ohio",39013,65.2 ,53.9, 76.4
"Buncombe County, North Carolina",37021,65.2 ,55.6, 74.4
"Collier County, Florida",12021,65.2 ,55.4, 74.7
"Dare County, North Carolina",37055,65.2 ,52.3, 77.6
"Defiance County, Ohio",39039,65.2 ,52.6, 77.5
"Dickinson County, Michigan",26043,65.2 ,49.9, 79.2
"Dougherty County, Georgia",13095,65.2 ,53.2, 76.8
"Eagle County, Colorado",08037,65.2 ,52.3, 77.8
"Grant County, Kentucky",21081,65.2 ,51.3, 78.5
"Hodgeman County, Kansas",20083,65.2 ,51.2, 78.4
"Kalamazoo County, Michigan",26077,65.2 ,55.8, 74.5
"Lee County, Alabama",01081,65.2 ,55.7, 74.4
"Macon County, North Carolina",37113,65.2 ,52.5, 77.4
"McMinn County, Tennessee",47107,65.2 ,53.1, 76.9
"Mecosta County, Michigan",26107,65.2 ,51.7, 78.0
"Monroe County, Florida",12087,65.2 ,52.9, 77.1
"Mower County, Minnesota",27099,65.2 ,53.5, 76.7
"Orange County, New York",36071,65.2 ,55.5, 74.9
"Pierce County, Nebraska",31139,65.2 ,53.3, 76.9
"Racine County, Wisconsin",55101,65.2 ,55.3, 74.7
"Spencer County, Indiana",18147,65.2 ,51.4, 78.4
"Valley County, Idaho",16085,65.2 ,49.8, 79.2
"Wallowa County, Oregon",41063,65.2 ,51.0, 78.4
"Whatcom County, Washington",53073,65.2 ,54.4, 76.1
"Whiteside County, Illinois",17195,65.2 ,51.4, 78.3
"Baraga County, Michigan",26013,65.1 ,50.0, 79.0
"Benton County, Iowa",19011,65.1 ,52.2, 77.4
"Blanco County, Texas",48031,65.1 ,49.1, 79.7
"Bosque County, Texas",48035,65.1 ,49.3, 79.7
"Boyd County, Nebraska",31015,65.1 ,50.4, 78.8
"Cherokee County, Iowa",19035,65.1 ,51.6, 78.0
"Clay County, Missouri",29047,65.1 ,54.3, 75.6
"De Witt County, Illinois",17039,65.1 ,50.1, 79.1
"Greeley County, Nebraska",31077,65.1 ,52.1, 77.8
"Hand County, South Dakota",46059,65.1 ,50.2, 79.1
"Hinsdale County, Colorado",08053,65.1 ,49.0, 80.1
"Jefferson County, Pennsylvania",42065,65.1 ,51.0, 78.5
"Kane County, Utah",49025,65.1 ,51.2, 78.2
"Kent County, Rhode Island",44003,65.1 ,58.4, 71.9
"Kootenai County, Idaho",16055,65.1 ,54.2, 76.0
"Lane County, Oregon",41039,65.1 ,57.0, 73.2
"Liberty County, Georgia",13179,65.1 ,51.5, 78.0
"Nome Census Area, Alaska",02180,65.1 ,51.8, 77.6
"St. Louis County, Missouri",29189,65.1 ,57.0, 73.3
"St. Tammany Parish, Louisiana",22103,65.1 ,55.3, 74.6
"Sumner County, Tennessee",47165,65.1 ,52.4, 77.3
"Tillamook County, Oregon",41057,65.1 ,51.4, 77.9
"Todd County, Minnesota",27153,65.1 ,53.4, 76.4
"Vigo County, Indiana",18167,65.1 ,55.0, 74.8
"Yalobusha County, Mississippi",28161,65.1 ,50.4, 79.0
"Asotin County, Washington",53003,65.0 ,52.2, 77.4
"Boyd County, Kentucky",21019,65.0 ,53.3, 76.6
"Butler County, Ohio",39017,65.0 ,55.6, 74.2
"Cape Girardeau County, Missouri",29031,65.0 ,51.8, 77.4
"Clay County, Indiana",18021,65.0 ,53.3, 76.2
"Columbia County, Wisconsin",55021,65.0 ,51.2, 78.0
"Grayson County, Kentucky",21085,65.0 ,51.8, 77.5
"Ida County, Iowa",19093,65.0 ,50.6, 78.6
"Island County, Washington",53029,65.0 ,53.6, 76.4
"Martin County, Florida",12085,65.0 ,54.4, 75.5
"Nemaha County, Kansas",20131,65.0 ,52.0, 77.7
"Nowata County, Oklahoma",40105,65.0 ,50.3, 78.8
"Pierce County, Washington",53053,65.0 ,56.9, 73.1
"Pottawattamie County, Iowa",19155,65.0 ,54.0, 76.1
"Rensselaer County, New York",36083,65.0 ,55.7, 74.3
"Rockwall County, Texas",48397,65.0 ,50.4, 78.9
"Roseau County, Minnesota",27135,65.0 ,52.2, 77.2
"Saginaw County, Michigan",26145,65.0 ,53.4, 76.4
"Wright County, Iowa",19197,65.0 ,51.5, 77.9
"Bates County, Missouri",29013,64.9 ,51.6, 77.5
"Bernalillo County, New Mexico",35001,64.9 ,58.9, 70.7
"Cedar County, Nebraska",31027,64.9 ,53.5, 76.2
"Crenshaw County, Alabama",01041,64.9 ,51.5, 77.7
"Franklin County, Idaho",16041,64.9 ,52.3, 77.1
"Gilpin County, Colorado",08047,64.9 ,49.9, 79.1
"Haywood County, Tennessee",47075,64.9 ,51.4, 77.8
"Honolulu County, Hawaii",15003,64.9 ,57.4, 72.4
"Jasper County, Indiana",18073,64.9 ,51.9, 77.5
"Mason County, Washington",53045,64.9 ,53.5, 76.1
"Monroe County, New York",36055,64.9 ,56.3, 73.3
"Monroe County, Pennsylvania",42089,64.9 ,55.0, 74.4
"Montgomery County, New York",36057,64.9 ,54.2, 75.7
"New Castle County, Delaware",10003,64.9 ,60.9, 68.9
"Nodaway County, Missouri",29147,64.9 ,51.1, 77.7
"Payette County, Idaho",16075,64.9 ,55.8, 73.7
"Pickens County, South Carolina",45077,64.9 ,53.6, 76.2
"Prentiss County, Mississippi",28117,64.9 ,51.5, 77.6
"Sandoval County, New Mexico",35043,64.9 ,54.3, 75.4
"Union County, Mississippi",28145,64.9 ,51.9, 77.1
"Warren County, Mississippi",28149,64.9 ,51.3, 77.8
"Washington County, Rhode Island",44009,64.9 ,56.0, 73.7
"White County, Illinois",17193,64.9 ,49.9, 79.0
"Amador County, California",06005,64.8 ,50.1, 78.7
"Callahan County, Texas",48059,64.8 ,48.9, 79.6
