
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

Had Colonoscopy in Past 10 Years
"All Races (includes Hispanic), Both Sexes, Ages 50-75"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Prince William County, Virginia",51153,72.3 ,63.8, 80.4
"Atlantic County, New Jersey",34001,72.2 ,64.8, 79.4
"Cole County, Missouri",29051,72.2 ,59.5, 83.8
"Garfield County, Montana",30033,72.2 ,57.6, 85.5
"Iredell County, North Carolina",37097,72.2 ,61.8, 82.0
"Jackson County, Oklahoma",40065,72.2 ,60.1, 83.4
"St. Croix County, Wisconsin",55109,72.2 ,61.8, 81.8
"Brevard County, Florida",12009,72.1 ,65.5, 78.4
"Saunders County, Nebraska",31155,72.0 ,61.2, 82.4
"Tipton County, Tennessee",47167,72.0 ,59.9, 83.2
"Warren County, New Jersey",34041,72.0 ,61.0, 82.3
"Fayette County, Pennsylvania",42051,71.9 ,61.0, 82.0
"Benton County, Indiana",18007,71.8 ,58.6, 83.6
"Clay County, Iowa",19041,71.8 ,59.9, 82.9
"Montmorency County, Michigan",26119,71.8 ,57.9, 84.4
"Posey County, Indiana",18129,71.7 ,57.4, 84.6
"Andrew County, Missouri",29003,71.5 ,58.5, 83.3
"Christian County, Missouri",29043,71.5 ,59.8, 82.5
"Nassau County, New York",36059,71.5 ,64.3, 78.5
"Whitley County, Kentucky",21235,71.5 ,59.6, 82.6
"James City County, Virginia",51095,71.4 ,59.6, 82.5
"Lenawee County, Michigan",26091,71.4 ,60.1, 82.1
"Ottawa County, Michigan",26139,71.4 ,62.5, 80.0
"Shelby County, Indiana",18145,71.4 ,60.9, 81.5
"Jefferson County, Wisconsin",55055,71.3 ,58.5, 83.0
"Newport County, Rhode Island",44005,71.3 ,64.2, 78.2
"Sully County, South Dakota",46119,71.3 ,57.9, 83.7
"Hill County, Texas",48217,71.2 ,58.8, 82.8
"Morgan County, Illinois",17137,71.2 ,56.8, 84.3
"Pendleton County, Kentucky",21191,71.2 ,58.4, 83.0
"Putnam County, New York",36079,71.2 ,60.4, 81.5
"Warren County, Ohio",39165,71.2 ,60.9, 81.0
"Boone County, Nebraska",31011,71.1 ,59.6, 82.1
"Jersey County, Illinois",17083,71.1 ,56.2, 84.4
"Waukesha County, Wisconsin",55133,71.1 ,61.3, 80.4
"Buffalo County, Wisconsin",55011,71.0 ,56.4, 84.3
"Hillsborough County, New Hampshire",33011,71.0 ,61.6, 80.5
"Mora County, New Mexico",35033,71.0 ,58.5, 82.5
"Nez Perce County, Idaho",16069,71.0 ,60.4, 81.4
"Staunton City, Virginia",51790,71.0 ,58.0, 82.9
"Tompkins County, New York",36109,71.0 ,60.8, 81.1
"Washington County, Minnesota",27163,71.0 ,63.2, 78.5
"Audrain County, Missouri",29007,70.9 ,57.9, 82.9
"Bell County, Texas",48027,70.9 ,60.3, 80.9
"Boone County, Missouri",29019,70.9 ,62.5, 78.9
"Cleveland County, Arkansas",05025,70.9 ,56.7, 84.0
"Johnson County, Kansas",20091,70.9 ,62.6, 79.2
"Keweenaw County, Michigan",26083,70.9 ,57.1, 83.4
"Lincoln County, South Dakota",46083,70.9 ,60.3, 81.2
"New London County, Connecticut",09011,70.9 ,62.2, 79.7
"Orange County, Vermont",50017,70.9 ,60.6, 81.1
"Cass County, Michigan",26027,70.8 ,58.6, 82.3
"Collin County, Texas",48085,70.8 ,61.5, 79.4
"Emmet County, Michigan",26047,70.8 ,59.4, 81.5
"Green County, Wisconsin",55045,70.8 ,58.0, 82.7
"Howard County, Iowa",19089,70.8 ,57.6, 82.8
"Madison County, Iowa",19121,70.8 ,59.1, 82.0
"Door County, Wisconsin",55029,70.7 ,56.9, 83.1
"Johnson County, Iowa",19103,70.7 ,60.4, 80.7
"Lackawanna County, Pennsylvania",42069,70.7 ,60.6, 80.2
"Prince George County, Virginia",51149,70.7 ,60.9, 80.0
"San Miguel County, Colorado",08113,70.7 ,55.4, 84.4
"Thurston County, Washington",53067,70.7 ,62.0, 79.2
"Davie County, North Carolina",37059,70.6 ,56.4, 83.6
"Franklin County, New York",36033,70.6 ,60.7, 80.1
"Frontier County, Nebraska",31063,70.6 ,57.4, 82.8
"Kenton County, Kentucky",21117,70.6 ,60.9, 79.9
"Pennington County, Minnesota",27113,70.6 ,61.7, 79.1
"Bay County, Michigan",26017,70.5 ,59.3, 81.3
"Catawba County, North Carolina",37035,70.5 ,70.3, 70.8
"Hughes County, South Dakota",46065,70.5 ,57.9, 82.3
"Wakulla County, Florida",12129,70.5 ,59.5, 81.1
"Wilson County, Tennessee",47189,70.5 ,57.6, 82.4
"Worcester County, Maryland",24047,70.5 ,60.1, 80.7
"Black Hawk County, Iowa",19013,70.4 ,60.2, 80.5
"Carroll County, New Hampshire",33003,70.4 ,60.1, 80.5
"Charlevoix County, Michigan",26029,70.4 ,57.9, 82.4
"DeKalb County, Tennessee",47041,70.4 ,56.3, 83.4
"Douglas County, Minnesota",27041,70.4 ,59.4, 81.0
"Winnebago County, Wisconsin",55139,70.4 ,59.2, 81.2
"Allegheny County, Pennsylvania",42003,70.3 ,62.7, 77.5
"Hopkins County, Texas",48223,70.3 ,60.6, 79.4
"Northumberland County, Virginia",51133,70.3 ,58.3, 81.5
"Pitt County, North Carolina",37147,70.3 ,58.4, 81.3
"Appanoose County, Iowa",19007,70.2 ,57.8, 81.8
"Benzie County, Michigan",26019,70.2 ,57.2, 82.1
"Bossier Parish, Louisiana",22015,70.2 ,60.0, 79.7
"Delaware County, Ohio",39041,70.2 ,60.9, 79.3
"Lonoke County, Arkansas",05085,70.2 ,58.6, 81.2
"Osceola County, Michigan",26133,70.2 ,57.3, 82.0
"Anderson County, Kentucky",21005,70.1 ,55.8, 83.1
"Delaware County, Pennsylvania",42045,70.1 ,62.3, 77.6
"Effingham County, Illinois",17049,70.1 ,56.1, 82.8
"Howard County, Maryland",24027,70.1 ,60.3, 79.7
"Montgomery County, Pennsylvania",42091,70.1 ,60.9, 78.9
"Morgan County, Alabama",01103,70.1 ,59.0, 80.8
"Strafford County, New Hampshire",33017,70.1 ,60.6, 79.4
"Wayne County, Georgia",13305,70.1 ,59.0, 80.4
"Bryan County, Georgia",13029,70.0 ,56.9, 82.1
"Clinton County, Iowa",19045,69.9 ,58.7, 80.7
"Indiana County, Pennsylvania",42063,69.9 ,60.4, 78.7
"Middlesex County, Connecticut",09007,69.9 ,63.1, 76.3
"Walthall County, Mississippi",28147,69.9 ,57.9, 81.5
"Washington County, Ohio",39167,69.9 ,61.2, 78.1
"Wayne County, Illinois",17191,69.9 ,56.3, 82.3
"Houston County, Alabama",01069,69.8 ,59.1, 80.4
"Leelanau County, Michigan",26089,69.8 ,56.7, 82.0
"Sanborn County, South Dakota",46111,69.8 ,55.4, 82.9
"Stone County, Missouri",29209,69.8 ,58.2, 80.8
"Baxter County, Arkansas",05005,69.7 ,61.8, 77.2
"Fairfield County, South Carolina",45039,69.7 ,57.3, 81.5
"Harding County, South Dakota",46063,69.7 ,54.8, 83.2
"Kandiyohi County, Minnesota",27067,69.7 ,58.8, 80.1
"Rich County, Utah",49033,69.7 ,54.5, 83.4
"Schenectady County, New York",36093,69.7 ,59.4, 79.5
"St. Charles County, Missouri",29183,69.7 ,60.2, 78.9
"Stevens County, Minnesota",27149,69.7 ,57.1, 81.6
"Ingham County, Michigan",26065,69.6 ,60.5, 78.5
"Itasca County, Minnesota",27061,69.6 ,58.5, 80.3
"Knox County, Maine",23013,69.6 ,59.5, 79.6
"Lawrence County, Pennsylvania",42073,69.6 ,56.7, 81.8
"Montcalm County, Michigan",26117,69.6 ,57.4, 81.2
"Nicollet County, Minnesota",27103,69.6 ,57.9, 80.7
"Portage County, Wisconsin",55097,69.6 ,59.2, 79.4
